config,metric,mean,ci_lo,ci_hi,n
$\alpha = 0.5$,success rate,0.5317460317460317,0.5077224310776941,0.5551430659983291,1596
$\alpha = 0.5$,max range (m),4.756131671416795,4.5142625843112025,4.989685875768457,1596
no decay,success rate,0.47243107769423553,0.44840747702589806,0.4966583124477862,1596
no decay,max range (m),4.8444929064573925,4.60143974929526,5.08258509900422,1596
no imitation (baseline),success rate,0.4442355889724311,0.41896407685881376,0.46825918964076857,1596
no imitation (baseline),max range (m),4.808700677468471,4.570512549231995,5.044110274830907,1596
