config,metric,mean,ci_lo,ci_hi,n
$\alpha = 0.5$,velocity MSE (m^2/s^2),0.01859995174266642,0.010829472557145264,0.0280668016194156,41
$\alpha = 0.5$,success rate,0.975609756097561,0.926829268292683,1.0,41
no decay,velocity MSE (m^2/s^2),0.017954150546154752,0.011535465206759622,0.02509810022300993,41
no decay,success rate,1.0,1.0,1.0,41
no imitation (baseline),velocity MSE (m^2/s^2),0.0034276926611795586,0.002161410885472795,0.004795228488580054,41
no imitation (baseline),success rate,1.0,1.0,1.0,41
