tag,hidden_size,lr,batch_size,best_val_fair,best_val_inloss,best_epoch,epochs
hs256_lr0.0003_bs32,256,0.0003,32,0.06518152590616848,0.17139315561011986,190,440
hs256_lr0.0003_bs64,256,0.0003,64,0.06496150848171156,0.1709517597048371,217,467
hs256_lr0.001_bs32,256,0.001,32,0.06219546572063808,0.16259636890005183,97,347
hs256_lr0.001_bs64,256,0.001,64,0.06376647409051657,0.16693294015195634,215,465
hs512_lr0.0003_bs32,512,0.0003,32,0.06359344715192156,0.16737265619966718,265,515
hs512_lr0.0003_bs64,512,0.0003,64,0.06330148011566726,0.16668386801525398,342,592
hs512_lr0.001_bs32,512,0.001,32,0.06303514655619101,0.16562337632532473,275,525
hs512_lr0.001_bs64,512,0.001,64,0.06263662984473976,0.16455115168182938,247,497
