tag,hidden_size,lr,batch_size,best_val,best_epoch,epochs
hs512_lr0.001_bs32,512,0.001,32,0.3100045559582887,160,410
hs512_lr0.001_bs64,512,0.001,64,0.2908707084479155,297,547
hs512_lr0.0003_bs32,512,0.0003,32,0.30846804159658925,160,410
hs512_lr0.0003_bs64,512,0.0003,64,0.3105758660369449,344,594
