variant,loss_kind,tag,coef_mse,time_domain_mse,fft_fidelity_h1_h3,period_mae_s,period_mape,period_mse_sec,fair_test,n_test
residual,notebook_zperiod,residual__notebook_zperiod,0.4852232038974762,0.02991599589586258,0.7084229588508606,0.029558761045336723,0.05994579941034317,0.0018892365042120218,0.03936217841692269,89
residual,baseline_v2,residual__baseline_v2,0.5201009511947632,0.03225862607359886,0.8231433033943176,0.03198834881186485,0.0683647096157074,0.0020732630509883165,0.042624941328540444,89
residual,time_heavy_period,residual__time_heavy_period,0.4856262505054474,0.029980992898344994,0.7530547380447388,0.030633261427283287,0.06375309079885483,0.001957833068445325,0.03977015824057162,89
baseline,notebook_zperiod,baseline__notebook_zperiod,0.9175208210945129,0.05860593169927597,1.5542699098587036,0.021183306351304054,0.04389449581503868,0.00138778705149889,0.06554486695677042,89
baseline,baseline_v2,baseline__baseline_v2,0.9059951901435852,0.05787544697523117,1.5439869165420532,0.027380533516407013,0.06149516999721527,0.0017254493432119489,0.06650269369129092,89
baseline,time_heavy_period,baseline__time_heavy_period,0.9364493489265442,0.05969446152448654,1.5789598226547241,0.025411685928702354,0.049742523580789566,0.0016464327927678823,0.06792662548832595,89
