tag,hidden_size,lr,batch_size,best_val,best_epoch,epochs
hs512_lr0.001_bs32,512,0.001,32,0.10127950211366017,1,251
hs512_lr0.001_bs64,512,0.001,64,0.09928444701212424,3,253
hs512_lr0.0003_bs32,512,0.0003,32,0.09640928622749116,3,253
hs512_lr0.0003_bs64,512,0.0003,64,0.0974609132166262,3,253
