tag,hidden_size,lr,batch_size,best_val,best_epoch,epochs
hs512_lr0.001_bs32,512,0.001,32,0.18978885798542589,1,251
hs512_lr0.001_bs64,512,0.001,64,0.19157207873132492,1,251
hs512_lr0.0003_bs32,512,0.0003,32,0.18740764006420418,3,253
hs512_lr0.0003_bs64,512,0.0003,64,0.1872926480240292,3,253
