Speed,Angle,Distance,Success,Reward
0.3,-15.0,0.0,True,1344.7582467651328
0.6,-15.0,0.81,True,1083.586838418464
0.9,-15.0,1.46,True,1400.7727042214212
1.2,-15.0,1.75,True,1622.3809847259886
1.5,-15.0,1.53,True,1512.0366578037354
1.8,-15.0,0.0,False,602.0298721448564
2.1,-15.0,0.0,False,568.3589518154037
2.4,-15.0,2.42,False,1365.1455862312635
2.7,-15.0,0.0,False,358.62649054020545
3.0,-15.0,0.0,False,358.42150642659806
0.3,-14.49,0.47,True,1294.3693899183506
0.6,-14.49,1.15,True,1277.882324843132
0.9,-14.49,1.49,True,1353.041195521798
1.2,-14.49,1.82,True,1483.2093858917594
1.5,-14.49,-6.09,False,837.2876257017413
1.8,-14.49,-5.68,False,961.731620641438
2.1,-14.49,0.0,False,637.6267787888054
2.4,-14.49,2.59,True,1568.025644480155
2.7,-14.49,0.0,False,565.3698059585985
3.0,-14.49,2.35,False,1128.9408838563684
0.3,-13.98,-0.05,True,1244.548291468859
0.6,-13.98,0.39,True,1115.28626158366
0.9,-13.98,0.93,True,1141.18875252019
1.2,-13.98,1.8,True,1564.8935139707673
1.5,-13.98,1.75,True,1508.7320243028007
1.8,-13.98,1.48,True,1408.5887543832769
2.1,-13.98,0.0,False,518.1976727011447
2.4,-13.98,-6.25,False,786.9491903549588
2.7,-13.98,2.13,True,1682.1683946737867
3.0,-13.98,0.0,False,200.38978922652313
0.3,-13.47,1.05,True,1371.0635891455408
0.6,-13.47,0.96,True,1240.5068925307414
0.9,-13.47,1.9,True,1343.7090888047323
1.2,-13.47,1.95,True,1455.523726011339
1.5,-13.47,1.11,True,1450.6061029992582
1.8,-13.47,1.66,True,1482.9978288043237
2.1,-13.47,0.0,False,85.5289411343172
2.4,-13.47,1.86,True,1497.3550160707798
2.7,-13.47,0.0,False,202.92139682420202
3.0,-13.47,2.3,False,988.8879687151605
0.3,-12.97,-0.16,True,1264.2241571017048
0.6,-12.97,0.74,True,1179.476074632163
0.9,-12.97,0.58,True,1141.9668171745318
1.2,-12.97,1.42,True,1450.6626130089885
1.5,-12.97,1.36,True,1432.1180711423601
1.8,-12.97,0.0,False,679.38638491365
2.1,-12.97,1.73,True,1466.8281802689053
2.4,-12.97,1.9,True,1334.796958298395
2.7,-12.97,1.9,True,1403.206854693323
3.0,-12.97,0.0,False,19.774581671738474
0.3,-12.46,0.42,True,1334.5878450174775
0.6,-12.46,0.41,True,1196.5794504979615
0.9,-12.46,0.99,True,1244.421317529192
1.2,-12.46,1.49,True,1344.507705151821
1.5,-12.46,1.99,True,1514.9757556395916
1.8,-12.46,1.7,True,1607.8215924455471
2.1,-12.46,0.0,False,580.7483316973963
2.4,-12.46,1.67,True,1471.8921141615417
2.7,-12.46,1.77,True,1351.607844671135
3.0,-12.46,1.83,True,1354.0263259491119
0.3,-11.95,-0.21,True,1299.6200051937274
0.6,-11.95,0.22,True,1203.6875595252966
0.9,-11.95,1.25,True,1304.4214973900594
1.2,-11.95,1.39,True,1545.976992545394
1.5,-11.95,1.64,True,1569.554294095621
1.8,-11.95,1.38,True,1426.6143275528
2.1,-11.95,1.73,True,1548.838526330181
2.4,-11.95,0.0,False,228.0652796877392
2.7,-11.95,1.63,True,1468.7117308502725
3.0,-11.95,0.0,False,408.1070927826379
0.3,-11.44,0.15,True,1186.8013116465072
0.6,-11.44,0.13,True,1343.0767255406913
0.9,-11.44,1.89,True,1426.9835096397378
1.2,-11.44,1.6,True,1605.3838997285031
1.5,-11.44,1.82,True,1549.670206632245
1.8,-11.44,1.7,True,1507.8945363911853
2.1,-11.44,0.0,False,127.45489476399509
2.4,-11.44,1.67,True,1456.5465544780761
2.7,-11.44,0.0,False,49.19260549829748
3.0,-11.44,0.0,False,683.7912787265334
0.3,-10.93,-0.32,True,1228.494139874534
0.6,-10.93,0.06,True,1313.370518821847
0.9,-10.93,1.45,True,1425.7374812854343
1.2,-10.93,1.61,True,1425.6536626739173
1.5,-10.93,1.53,True,1428.1623905415902
1.8,-10.93,1.73,True,1580.1220820243896
2.1,-10.93,2.06,True,1661.3824628349794
2.4,-10.93,-5.92,False,1046.749844698331
2.7,-10.93,1.85,True,1239.4792693649722
3.0,-10.93,0.0,False,159.85090462418276
0.3,-10.42,-0.01,True,1178.5092585084055
0.6,-10.42,0.38,True,1327.253225290582
0.9,-10.42,0.28,True,1089.8013689194293
1.2,-10.42,0.0,False,689.7333572729343
1.5,-10.42,1.2,True,1334.7412052927225
1.8,-10.42,1.57,True,1599.9749822036588
