batch_size,hidden_size,num_epochs,learning_rate,final_train_loss,final_val_loss
32,256,10,0.0001,0.029998562443406367,0.028326918757378274
32,256,20,0.0001,0.027054894222374556,0.02561051814967368
32,256,30,0.0001,0.025634255064590234,0.02437386143643523
32,256,40,0.0001,0.024735970116939794,0.023543718665447817
32,256,50,0.0001,0.02414394326556955,0.0231682202213456
32,256,60,0.0001,0.0236829812200312,0.022672416739914096
32,256,70,0.0001,0.023253084508869266,0.022218236707834176
32,256,80,0.0001,0.022774937813306795,0.021731363349150882
32,256,90,0.0001,0.022358901130292295,0.021383770469039286
32,256,100,0.0001,0.021881388899762207,0.021055090993512666
32,256,110,0.0001,0.021882541787441763,0.02077446604659984
32,256,120,0.0001,0.02121465399258116,0.020518972420471203
32,256,130,0.0001,0.021255913620541602,0.020278319683918265
32,256,140,0.0001,0.02102240955933961,0.02006387569042793
32,256,150,0.0001,0.020918662449919682,0.01985050835463678
32,256,160,0.0001,0.020316831033913258,0.01960070055449894
32,256,170,0.0001,0.02048563636040531,0.019458013639569803
32,256,180,0.0001,0.02018422889370365,0.01921298070587055
32,256,190,0.0001,0.019856965650256145,0.01906913263910332
32,256,200,0.0001,0.019864981900289232,0.018875459221285244
32,256,210,0.0001,0.019630691916956943,0.018726585119734945
32,256,220,0.0001,0.019340938833466766,0.01856864885097638
32,256,230,0.0001,0.019493389552707744,0.018470351047423467
32,256,240,0.0001,0.019282419527972553,0.01824046063387368
32,256,250,0.0001,0.019381571173896155,0.018106226996400732
32,256,260,0.0001,0.018978991886066922,0.017933217894009368
32,256,270,0.0001,0.019012599710692985,0.017872390963592645
32,256,280,0.0001,0.018820397641420104,0.01769275014496136
32,256,290,0.0001,0.018650718196346148,0.017570903134332995
32,256,300,0.0001,0.01880795354557507,0.01759191170562563
32,256,310,0.0001,0.0185539960347654,0.017403797864686193
32,256,320,0.0001,0.01841400214419975,0.017244770911453072
32,256,330,0.0001,0.018273423778410812,0.017120254160958345
32,256,340,0.0001,0.0182315140098529,0.017026149692200936
32,256,350,0.0001,0.01810246644871762,0.016899288213083837
32,256,360,0.0001,0.01801332698918928,0.01683273949298406
32,256,370,0.0001,0.018140355642697482,0.01682190075272686
32,256,380,0.0001,0.017892346739834194,0.016668529819095237
32,256,390,0.0001,0.017684287092030963,0.0165436057024127
32,256,400,0.0001,0.0176388822267692,0.016543071285931302
32,256,410,0.0001,0.017710796437130454,0.01645972820478756
32,256,420,0.0001,0.017593740766839464,0.01642264031264199
32,256,430,0.0001,0.01743988446989127,0.016324446902622563
