demo type,cmd speed,angle,mean speed,noise level,resolution,success,max range,trial_no,symmetry index,steps taken
vel_diff,0.1,,0.16667136886164455,,,True,,,,34.0
vel_diff,0.15000000000000002,,0.2139755675836766,,,True,,,,17.0
vel_diff,0.2,,0.25766439251727985,,,True,,,,44.0
vel_diff,0.25,,0.3064771630197009,,,True,,,,47.0
vel_diff,0.30000000000000004,,0.3540256182068722,,,True,,,,59.0
vel_diff,0.35,,0.3979654075268812,,,True,,,,45.0
vel_diff,0.4,,0.4530541121666018,,,True,,,,17.0
vel_diff,0.45000000000000007,,0.49844027670544533,,,True,,,,24.0
vel_diff,0.5,,0.539734352046945,,,True,,,,82.0
vel_diff,0.55,,0.5827994133453582,,,True,,,,92.0
vel_diff,0.6,,0.6284095506352719,,,True,,,,65.0
vel_diff,0.65,,0.6685067540435843,,,True,,,,58.0
vel_diff,0.7000000000000001,,0.7161226896887909,,,True,,,,38.0
vel_diff,0.75,,0.7601717748289023,,,True,,,,63.0
vel_diff,0.8,,0.810622348739194,,,True,,,,40.0
vel_diff,0.85,,0.8549718235925041,,,True,,,,47.0
vel_diff,0.9,,0.9061014525140966,,,True,,,,43.0
vel_diff,0.9500000000000001,,0.9507859304734542,,,True,,,,39.0
vel_diff,1.0,,0.9990004244346753,,,True,,,,47.0
vel_diff,1.05,,1.0356869823042962,,,True,,,,66.0
vel_diff,1.1,,1.0784149829531608,,,True,,,,66.0
vel_diff,1.1500000000000001,,1.1223925420333445,,,True,,,,40.0
vel_diff,1.2000000000000002,,1.168119237589124,,,True,,,,58.0
vel_diff,1.2500000000000002,,1.212877870642166,,,True,,,,61.0
vel_diff,1.3000000000000003,,1.2556444532390327,,,True,,,,65.0
vel_diff,1.35,,1.3048872222248082,,,True,,,,37.0
vel_diff,1.4000000000000001,,1.3601577069226995,,,True,,,,85.0
vel_diff,1.4500000000000002,,1.4063269813264618,,,True,,,,109.0
vel_diff,1.5000000000000002,,1.451151288625748,,,True,,,,113.0
vel_diff,1.5500000000000003,,1.4848784243078277,,,True,,,,55.0
vel_diff,1.6,,1.5325673530080737,,,True,,,,79.0
vel_diff,1.6500000000000001,,1.5829958888111457,,,True,,,,43.0
vel_diff,1.7000000000000002,,1.623302036884935,,,True,,,,59.0
vel_diff,1.7500000000000002,,1.661966421297097,,,True,,,,97.0
vel_diff,1.8000000000000003,,1.694969508539924,,,True,,,,109.0
vel_diff,1.85,,1.7535249239903603,,,True,,,,71.0
vel_diff,1.9000000000000001,,1.7904724773768368,,,True,,,,137.0
vel_diff,1.9500000000000002,,1.8299888282020713,,,True,,,,96.0
vel_diff,2.0,,1.8687906718867897,,,True,,,,61.0
vel_diff,2.0500000000000003,,1.919023904974368,,,True,,,,80.0
vel_diff,2.1,,1.960718181347574,,,False,,,,38.0
