Wall time,Step,Value
1756824798.8096192,8192,-87.43535614013672
1756824812.5428865,24576,-86.25408172607422
1756824819.2815318,32768,-87.82042694091797
1756824825.919649,40960,-89.2688217163086
1756824865.6175506,90112,-85.70608520507812
1756824872.1761906,98304,-85.34051513671875
1756824891.919052,122880,-87.35987854003906
1756824898.520938,131072,-84.74573516845703
1756824918.1601362,155648,-86.23133850097656
1756824924.7069256,163840,-85.38062286376953
1756824931.2747006,172032,-82.99103546142578
1756824944.313385,188416,-80.23538208007812
1756824950.8352537,196608,-80.01651763916016
1756824970.5866632,221184,-82.852783203125
1756824977.159628,229376,-80.3105239868164
1756824990.237748,245760,-80.92625427246094
1756825016.290809,278528,-77.26524353027344
1756825022.7750034,286720,-75.68045806884766
1756825035.782831,303104,-76.03130340576172
1756825042.2586746,311296,-65.18218231201172
1756825048.7151763,319488,-71.93927001953125
1756825055.1640568,327680,-66.37591552734375
1756825061.6520026,335872,-66.29755401611328
1756825107.394069,393216,-57.76554489135742
1756825113.956701,401408,-57.14104461669922
1756825120.4515831,409600,-48.99169921875
1756825133.5201333,425984,-39.815879821777344
1756825140.0870705,434176,-46.29621124267578
1756825153.1699612,450560,-44.48408889770508
1756825159.7455237,458752,-50.2022705078125
1756825172.7689223,475136,-21.27458381652832
1756825192.4359152,499712,-29.386981964111328
1756825199.0163686,507904,-35.6392822265625
1756825205.4759638,516096,-26.08351707458496
1756825211.9680572,524288,-15.955405235290527
1756825224.9670777,540672,3.4023830890655518
1756825231.6028833,548864,0.28098970651626587
1756825238.2053924,557056,0.23666280508041382
1756825244.8036978,565248,13.779659271240234
1756825257.9106376,581632,40.273902893066406
1756825264.4108477,589824,28.57770347595215
1756825277.3225694,606208,31.571731567382812
1756825290.2703233,622592,47.10145950317383
1756825303.1070096,638976,40.084129333496094
1756825316.0398073,655360,54.117061614990234
1756825322.4633865,663552,67.5507583618164
1756825335.3565452,679936,92.79220581054688
1756825341.811698,688128,100.54352569580078
1756825354.7906158,704512,116.31526947021484
1756825361.3291821,712704,115.25636291503906
1756825380.6953225,737280,123.6618423461914
1756825387.099546,745472,116.12777709960938
1756825419.5141778,786432,144.34710693359375
1756825445.905104,819200,129.26971435546875
1756825452.520215,827392,127.13849639892578
1756825472.1708245,851968,117.42594146728516
1756825491.8595917,876544,141.30712890625
1756825498.4046302,884736,142.8326416015625
1756825511.5415347,901120,148.53826904296875
1756825518.0905874,909312,148.33370971679688
1756825544.1287644,942080,153.19638061523438
1756825557.053219,958464,150.60952758789062
1756825589.4817102,999424,163.07098388671875
1756825615.5600748,1032192,184.7706756591797
1756825622.1164064,1040384,180.9876708984375
1756825635.2052822,1056768,164.54452514648438
1756825641.7015038,1064960,167.09161376953125
1756825648.1997273,1073152,165.47067260742188
1756825654.7546086,1081344,167.7871551513672
1756825661.2289913,1089536,168.75611877441406
1756825674.1961286,1105920,167.54432678222656
1756825687.2598765,1122304,173.4745635986328
1756825693.7343755,1130496,174.95558166503906
1756825732.7790096,1179648,183.60549926757812
1756825739.2959092,1187840,182.17864990234375
1756825752.4253118,1204224,177.2257843017578
1756825758.891802,1212416,177.56082153320312
1756825778.5082252,1236992,185.37307739257812
1756825824.592802,1294336,189.14898681640625
1756825837.7383769,1310720,193.99227905273438
1756825844.3493125,1318912,192.1387481689453
1756825857.6175785,1335296,186.35902404785156
1756825870.8277476,1351680,197.1889190673828
1756825883.919241,1368064,203.73809814453125
1756825910.3743255,1400832,204.8496551513672
1756825917.008644,1409024,211.2615966796875
1756825923.5918581,1417216,217.37696838378906
1756825943.689262,1441792,207.94073486328125
1756825950.3635275,1449984,205.90818786621094
1756825957.0571024,1458176,213.210693359375
1756825963.7096038,1466368,216.74684143066406
1756825977.0818853,1482752,228.30380249023438
1756825983.7353692,1490944,223.253662109375
1756826003.6107323,1515520,227.79769897460938
1756826010.1988866,1523712,232.9058074951172
1756826016.7932935,1531904,229.63136291503906
1756826036.5254655,1556480,225.86749267578125
1756826043.081354,1564672,230.2716827392578
1756826049.7080846,1572864,232.16043090820312
1756826056.2711427,1581056,232.59007263183594
1756826076.276908,1605632,239.95143127441406
1756826096.1108356,1630208,238.6145782470703
1756826102.6630647,1638400,247.86813354492188
1756826109.1795242,1646592,252.5334014892578
1756826122.3905838,1662976,257.9256896972656
1756826129.034348,1671168,260.06524658203125
1756826135.583622,1679360,262.9082946777344
1756826142.2396688,1687552,263.09527587890625
1756826155.5828,1703936,263.77642822265625
1756826168.9081297,1720320,261.1168518066406
1756826182.2859833,1736704,256.67645263671875
1756826195.5697062,1753088,259.1759338378906
1756826208.6786401,1769472,272.0602722167969
1756826215.2165985,1777664,281.6076354980469
1756826228.4679232,1794048,280.6539306640625
1756826235.0092828,1802240,278.87396240234375
1756826241.6575887,1810432,275.54327392578125
1756826248.3284085,1818624,276.4964599609375
1756826254.9970505,1826816,278.4690856933594
1756826268.2516012,1843200,282.17132568359375
1756826274.9316258,1851392,287.13922119140625
1756826301.2753234,1884160,291.3896179199219
1756826321.1595294,1908736,279.935546875
1756826341.0048773,1933312,289.1492919921875
1756826354.1191268,1949696,291.40301513671875
1756826360.6675801,1957888,291.9315490722656
1756826367.262156,1966080,294.51776123046875
1756826380.5044987,1982464,286.2735290527344
1756826387.1395686,1990656,279.5547790527344
1756826400.4517992,2007040,287.9538269042969
1756826407.0471792,2015232,294.75494384765625
1756826413.6339757,2023424,301.32537841796875
1756826420.2945945,2031616,299.99774169921875
1756826453.4441106,2072576,292.6401062011719
1756826460.0605407,2080768,293.1695861816406
1756826466.6650946,2088960,296.4136962890625
1756826486.5063417,2113536,313.9964294433594
1756826493.177864,2121728,314.3557434082031
1756826499.8225186,2129920,310.659423828125
1756826506.4313855,2138112,311.6672668457031
1756826519.685628,2154496,310.33160400390625
1756826572.9374228,2220032,333.9251708984375
1756826579.5731716,2228224,332.92474365234375
1756826599.427087,2252800,331.1968994140625
1756826606.0593972,2260992,334.2233581542969
1756826612.712295,2269184,337.99603271484375
1756826626.02046,2285568,340.20556640625
1756826639.3906348,2301952,338.16436767578125
1756826652.7378185,2318336,340.3829650878906
1756826659.4233851,2326528,341.1744079589844
1756826672.800214,2342912,348.67626953125
1756826686.2052212,2359296,354.5437927246094
1756826692.9862463,2367488,357.81427001953125
1756826706.4604547,2383872,352.9488220214844
1756826739.9592662,2424832,349.72369384765625
1756826746.6862843,2433024,349.62335205078125
1756826753.5303695,2441216,353.21234130859375
1756826760.2708268,2449408,363.2792053222656
1756826767.0082228,2457600,370.3670654296875
1756826800.7531016,2498560,349.4852600097656
1756826814.242525,2514944,358.070068359375
1756826820.9496365,2523136,356.36663818359375
1756826827.671517,2531328,361.6932678222656
1756826834.482529,2539520,361.2560119628906
1756826854.754581,2564096,363.5605773925781
1756826861.4978487,2572288,369.6176452636719
1756826881.6699817,2596864,376.79815673828125
1756826895.1560814,2613248,363.02301025390625
1756826901.844834,2621440,364.4252624511719
1756826921.9843245,2646016,370.0517272949219
1756826935.4590833,2662400,373.85858154296875
1756826969.0827825,2703360,360.77642822265625
1756826975.7937076,2711552,381.8516540527344
1756826982.5259154,2719744,377.4561462402344
1756826989.2936215,2727936,376.74212646484375
1756826995.9574082,2736128,379.96478271484375
1756827022.8991084,2768896,391.49603271484375
1756827029.6724463,2777088,394.5301208496094
1756827043.2017007,2793472,390.9966125488281
1756827063.3682132,2818048,380.4812316894531
1756827070.0955045,2826240,382.08636474609375
1756827076.8376038,2834432,383.2458190917969
1756827083.529363,2842624,386.9216613769531
1756827097.0702715,2859008,397.2464904785156
1756827110.6021276,2875392,390.75
1756827124.1735883,2891776,396.6546936035156
1756827130.9420745,2899968,403.5984191894531
1756827137.7094307,2908160,402.3818664550781
1756827144.5168302,2916352,408.4195251464844
1756827158.0543668,2932736,392.12762451171875
1756827164.8108928,2940928,387.586669921875
1756827178.3492274,2957312,404.0591125488281
1756827191.8049738,2973696,412.7912902832031
1756827198.5833309,2981888,405.5509338378906
1756827205.330679,2990080,398.0251159667969
1756827212.1613038,2998272,389.1278076171875
1756827218.9601533,3006464,392.8202819824219
1756827225.7541237,3014656,400.4382019042969
1756827232.5850503,3022848,409.64776611328125
1756827273.2813337,3072000,394.6899719238281
1756827280.1597989,3080192,394.7868347167969
1756827293.8080041,3096576,409.4923400878906
1756827300.6063762,3104768,401.7818908691406
1756827327.865848,3137536,403.9971618652344
1756827348.3238451,3162112,408.4828186035156
1756827355.126092,3170304,400.7022705078125
1756827375.67333,3194880,406.8202819824219
1756827382.4983757,3203072,405.71826171875
1756827389.3411279,3211264,395.34661865234375
1756827396.1987827,3219456,398.2012023925781
1756827403.015841,3227648,402.98297119140625
1756827409.8573043,3235840,403.7211608886719
1756827416.6848226,3244032,422.92425537109375
1756827423.5032654,3252224,420.6359558105469
1756827430.3993716,3260416,411.7529296875
1756827437.310573,3268608,415.84368896484375
1756827444.136553,3276800,412.8012390136719
1756827457.7986095,3293184,412.0655822753906
1756827464.61264,3301376,413.91009521484375
1756827478.2696402,3317760,424.8392028808594
1756827491.9513524,3334144,429.1219482421875
1756827505.6159983,3350528,431.4987487792969
1756827512.5001657,3358720,429.3306579589844
1756827533.2832067,3383296,425.9197998046875
1756827540.1969697,3391488,421.7282409667969
1756827547.1216118,3399680,420.74652099609375
1756827553.9964159,3407872,424.547607421875
1756827574.6608403,3432448,427.45526123046875
1756827581.5368342,3440640,423.19805908203125
1756827595.2965946,3457024,426.2037353515625
1756827602.1843235,3465216,419.47576904296875
1756827622.862358,3489792,423.62481689453125
1756827629.7325463,3497984,428.14031982421875
1756827657.0384269,3530752,440.64984130859375
1756827663.8842494,3538944,441.1370544433594
1756827684.3599772,3563520,443.2618713378906
1756827691.1765385,3571712,434.7890319824219
1756827697.9615095,3579904,429.72894287109375
1756827704.7633605,3588096,429.2261047363281
1756827711.5640898,3596288,432.32220458984375
1756827718.4471242,3604480,436.6568603515625
1756827725.3468518,3612672,435.921875
1756827732.299276,3620864,441.3909606933594
1756827746.0571547,3637248,446.58380126953125
1756827752.9055536,3645440,450.7961120605469
1756827759.8610275,3653632,451.2320556640625
1756827766.7411397,3661824,448.8876037597656
1756827794.2445443,3694592,442.67755126953125
1756827801.096879,3702784,439.1999206542969
1756827807.8952355,3710976,444.1641845703125
1756827814.82172,3719168,450.3341369628906
1756827821.7661262,3727360,453.51397705078125
1756827835.6673193,3743744,463.9248046875
1756827849.581201,3760128,457.59765625
1756827863.5512378,3776512,450.3457946777344
1756827870.526833,3784704,457.1365661621094
1756827877.4889307,3792896,456.5556640625
1756827891.4694023,3809280,460.13372802734375
1756827898.3875237,3817472,454.4645080566406
1756827905.3291767,3825664,459.1871643066406
1756827919.2205207,3842048,453.8944396972656
1756827933.098467,3858432,468.18603515625
1756827940.0146027,3866624,468.835693359375
1756827960.9193976,3891200,450.84912109375
1756827967.9035456,3899392,445.03802490234375
1756827988.7766469,3923968,463.6847229003906
1756827995.7495675,3932160,467.18084716796875
1756828002.7584608,3940352,467.5356140136719
1756828009.7971644,3948544,463.86810302734375
1756828016.6916368,3956736,462.3887634277344
1756828023.6167154,3964928,462.4173583984375
1756828030.5843444,3973120,471.433349609375
1756828044.5328217,3989504,470.68572998046875
1756828051.5313163,3997696,467.043212890625
1756828058.4997978,4005888,461.4875183105469
1756828065.4417672,4014080,456.8364562988281
1756828079.380865,4030464,463.54705810546875
1756828100.159935,4055040,464.7416076660156
1756828107.1097224,4063232,468.2762145996094
1756828127.9105475,4087808,456.2915344238281
1756828148.6196213,4112384,473.6712646484375
1756828155.4937856,4120576,476.54644775390625
1756828162.383921,4128768,476.5186462402344
1756828183.361141,4153344,476.5284423828125
1756828197.2132044,4169728,477.9539489746094
1756828204.168738,4177920,475.4849548339844
1756828211.0904338,4186112,479.6244201660156
1756828217.987263,4194304,480.03167724609375
1756828224.9709754,4202496,486.1085510253906
1756828231.870904,4210688,480.3463439941406
1756828238.8717656,4218880,486.7855529785156
1756828252.7684088,4235264,476.6377868652344
1756828259.728023,4243456,471.43133544921875
1756828266.6847546,4251648,468.6341552734375
1756828273.6512368,4259840,467.94549560546875
1756828280.5623612,4268032,468.2935485839844
1756828287.5392556,4276224,477.0479431152344
1756828301.5821779,4292608,469.64276123046875
1756828350.876908,4349952,490.73480224609375
1756828372.1161816,4374528,485.21484375
1756828379.0422149,4382720,490.3641052246094
1756828392.9806614,4399104,483.4323425292969
1756828399.9708743,4407296,480.84869384765625
1756828406.9358509,4415488,464.3093566894531
1756828413.9308639,4423680,470.8938293457031
1756828420.954832,4431872,466.5137023925781
1756828434.828077,4448256,483.5484924316406
1756828441.792633,4456448,482.5635070800781
1756828448.8223357,4464640,479.4712829589844
1756828462.9629722,4481024,487.4200744628906
1756828469.9746392,4489216,484.65228271484375
1756828490.933518,4513792,485.3829040527344
1756828504.890284,4530176,483.0301208496094
1756828518.8081462,4546560,462.61993408203125
1756828525.765399,4554752,456.9552307128906
1756828532.7772,4562944,468.1545715332031
1756828574.0244951,4612096,501.5734558105469
1756828580.990634,4620288,502.55413818359375
1756828587.8977683,4628480,500.2776184082031
1756828615.7665298,4661248,487.48370361328125
1756828622.767892,4669440,492.7208557128906
1756828636.739609,4685824,501.28753662109375
1756828650.699743,4702208,499.59747314453125
1756828671.8092985,4726784,513.7749633789062
1756828699.8572237,4759552,508.147216796875
1756828727.9590127,4792320,502.3210754394531
1756828734.9725266,4800512,505.3602600097656
1756828742.0014715,4808704,505.6009521484375
1756828756.0623016,4825088,488.0970458984375
1756828763.1123722,4833280,488.0622863769531
1756828770.1651223,4841472,473.9791564941406
1756828777.2353845,4849664,489.3634948730469
1756828784.2633154,4857856,497.1875305175781
1756828798.4239047,4874240,511.1863708496094
1756828812.6337688,4890624,506.63946533203125
1756828819.6648557,4898816,514.5505981445312
1756828826.7018254,4907008,509.14959716796875
1756828833.7141724,4915200,512.4752197265625
1756828847.7117078,4931584,512.8678588867188
1756828854.739448,4939776,511.6430358886719
1756828861.8110993,4947968,513.675048828125
1756828875.9312077,4964352,519.6804809570312
1756828897.1450276,4988928,517.9080200195312
1756828911.2428098,5005312,501.3351745605469
1756828932.4905488,5029888,523.4361572265625
1756828939.5567985,5038080,527.6126708984375
1756828953.695014,5054464,503.07257080078125
1756828960.7416034,5062656,502.15643310546875
1756828967.8070354,5070848,501.9483337402344
1756828981.9606845,5087232,522.6876220703125
1756828996.163688,5103616,504.289794921875
1756829003.2475111,5111808,511.8883972167969
1756829024.465026,5136384,516.5751342773438
1756829031.592456,5144576,523.7335205078125
1756829038.68026,5152768,526.505126953125
1756829045.8028028,5160960,524.91162109375
1756829074.3776252,5193728,529.3287353515625
1756829081.5457785,5201920,526.8341064453125
1756829088.5862613,5210112,525.0272827148438
1756829102.741379,5226496,531.4208374023438
1756829124.2679105,5251072,531.841552734375
1756829131.4189808,5259264,528.0848999023438
1756829138.5178192,5267456,529.7667846679688
1756829145.6410139,5275648,533.067138671875
1756829152.6752968,5283840,534.0075073242188
1756829159.851272,5292032,536.8565063476562
1756829188.6827555,5324800,534.6770629882812
1756829203.1750672,5341184,536.8031616210938
1756829210.386968,5349376,535.9397583007812
1756829217.583506,5357568,538.9299926757812
1756829224.7326744,5365760,544.2427368164062
1756829231.9284027,5373952,546.8822631835938
1756829253.2980685,5398528,527.4302978515625
1756829260.3898475,5406720,533.0722045898438
1756829267.581775,5414912,537.956298828125
1756829317.7982135,5472256,528.3716430664062
1756829339.4122374,5496832,527.6509399414062
