demo type,cmd speed,angle,mean speed,noise level,resolution,success,max range,trial_no
rotation,0.2,-15.0,0.5129294999143468,,,1,,
rotation,0.29000000000000004,-15.0,0.5426176661787454,,,1,,
rotation,0.38,-15.0,0.6427681129652253,,,1,,
rotation,0.47000000000000003,-15.0,0.6920533768963107,,,1,,
rotation,0.56,-15.0,0.6018815676884615,,,1,,
rotation,0.6499999999999999,-15.0,0.6623903877318561,,,1,,
rotation,0.74,-15.0,0.7362024870205284,,,1,,
rotation,0.8300000000000001,-15.0,0.8079403624029594,,,1,,
rotation,0.9199999999999999,-15.0,0.9080584671260491,,,1,,
rotation,1.01,-15.0,1.0700332563733015,,,1,,
rotation,1.0999999999999999,-15.0,1.05962373292802,,,1,,
rotation,1.19,-15.0,1.199586373699388,,,1,,
rotation,1.28,-15.0,1.3193345525680218,,,1,,
rotation,1.3699999999999999,-15.0,1.404937077529709,,,1,,
rotation,1.46,-15.0,1.4340871567827242,,,1,,
rotation,1.5499999999999998,-15.0,1.5286449362714523,,,1,,
rotation,1.64,-15.0,1.596263523310849,,,1,,
rotation,1.73,-15.0,1.6358915917112202,,,1,,
rotation,1.8199999999999998,-15.0,1.6695022696687865,,,1,,
rotation,1.91,-15.0,1.8464253899133327,,,1,,
rotation,2.0,-15.0,1.9632535772363375,,,1,,
rotation,0.2,-14.0,0.5024539471241155,,,1,,
rotation,0.29000000000000004,-14.0,0.5466064424314002,,,1,,
rotation,0.38,-14.0,0.6358709158640409,,,1,,
rotation,0.47000000000000003,-14.0,0.6865179409384464,,,1,,
rotation,0.56,-14.0,0.602606814861338,,,1,,
rotation,0.6499999999999999,-14.0,0.657470637186993,,,1,,
rotation,0.74,-14.0,0.7201016611372163,,,1,,
rotation,0.8300000000000001,-14.0,0.8142250670235128,,,1,,
rotation,0.9199999999999999,-14.0,0.9550896525552895,,,1,,
rotation,1.01,-14.0,0.9962069582947953,,,1,,
rotation,1.0999999999999999,-14.0,1.1193035913684881,,,1,,
rotation,1.19,-14.0,1.2281012715078896,,,1,,
rotation,1.28,-14.0,1.2599354025669192,,,1,,
rotation,1.3699999999999999,-14.0,1.3603617914897719,,,1,,
rotation,1.46,-14.0,1.3964532214756666,,,1,,
rotation,1.5499999999999998,-14.0,1.4624431078985143,,,1,,
rotation,1.64,-14.0,1.6356996663175403,,,1,,
rotation,1.73,-14.0,1.6405431980802216,,,1,,
rotation,1.8199999999999998,-14.0,1.569094066449922,,,1,,
rotation,1.91,-14.0,1.7723572045233447,,,1,,
rotation,2.0,-14.0,1.922085880593156,,,1,,
rotation,0.2,-13.0,0.4322285757411705,,,1,,
rotation,0.29000000000000004,-13.0,0.4377177315588679,,,1,,
rotation,0.38,-13.0,0.49795806398268616,,,1,,
rotation,0.47000000000000003,-13.0,0.5983536579645614,,,1,,
rotation,0.56,-13.0,0.6120113646399953,,,1,,
rotation,0.6499999999999999,-13.0,0.6825347573318185,,,1,,
rotation,0.74,-13.0,0.7068450817187889,,,1,,
rotation,0.8300000000000001,-13.0,0.7790341484095157,,,1,,
rotation,0.9199999999999999,-13.0,0.8906525914013071,,,1,,
rotation,1.01,-13.0,1.017914051995012,,,1,,
rotation,1.0999999999999999,-13.0,1.137830900062137,,,1,,
rotation,1.19,-13.0,1.193356228035329,,,1,,
rotation,1.28,-13.0,1.2757667615498172,,,1,,
rotation,1.3699999999999999,-13.0,1.280297700374138,,,1,,
rotation,1.46,-13.0,1.3995341412156048,,,1,,
rotation,1.5499999999999998,-13.0,1.4466753741095026,,,1,,
rotation,1.64,-13.0,1.536379602312553,,,1,,
rotation,1.73,-13.0,1.661602975261583,,,1,,
rotation,1.8199999999999998,-13.0,1.641250348375071,,,1,,
rotation,1.91,-13.0,1.802373373725395,,,1,,
rotation,2.0,-13.0,1.8993657881587822,,,1,,
rotation,0.2,-12.0,0.4054189647372075,,,1,,
rotation,0.29000000000000004,-12.0,0.4240383121476672,,,1,,
rotation,0.38,-12.0,0.4594598223855031,,,1,,
rotation,0.47000000000000003,-12.0,0.6628189493186327,,,1,,
rotation,0.56,-12.0,0.5822238076343121,,,1,,
rotation,0.6499999999999999,-12.0,0.638335612490401,,,1,,
rotation,0.74,-12.0,0.699477090365081,,,1,,
rotation,0.8300000000000001,-12.0,0.7660065683719824,,,1,,
rotation,0.9199999999999999,-12.0,0.9016407086412851,,,1,,
rotation,1.01,-12.0,1.0483029282792093,,,1,,
rotation,1.0999999999999999,-12.0,1.068337154242011,,,1,,
rotation,1.19,-12.0,1.1284196391057695,,,1,,
rotation,1.28,-12.0,1.3082865542451245,,,1,,
rotation,1.3699999999999999,-12.0,1.292271549356666,,,1,,
rotation,1.46,-12.0,1.3194245673236071,,,1,,
rotation,1.5499999999999998,-12.0,1.4598888804222572,,,1,,
rotation,1.64,-12.0,1.5220178954341355,,,1,,
rotation,1.73,-12.0,1.6541664806275846,,,1,,
rotation,1.8199999999999998,-12.0,1.6835337902593352,,,1,,
rotation,1.91,-12.0,1.8070736363142226,,,1,,
rotation,2.0,-12.0,1.8928942936697626,,,1,,
rotation,0.2,-11.0,0.30986505171351625,,,1,,
rotation,0.29000000000000004,-11.0,0.46040399491460476,,,1,,
rotation,0.38,-11.0,0.4141605579385337,,,1,,
rotation,0.47000000000000003,-11.0,0.5803140689240895,,,1,,
rotation,0.56,-11.0,0.6022851265721679,,,1,,
rotation,0.6499999999999999,-11.0,0.6189136296216763,,,1,,
rotation,0.74,-11.0,0.7052852345191857,,,1,,
rotation,0.8300000000000001,-11.0,0.8022638844527186,,,1,,
rotation,0.9199999999999999,-11.0,0.8869508089224124,,,1,,
rotation,1.01,-11.0,0.9500958754653134,,,1,,
rotation,1.0999999999999999,-11.0,1.1146230525955863,,,1,,
rotation,1.19,-11.0,1.1571651087019832,,,1,,
rotation,1.28,-11.0,1.2903330398326611,,,1,,
rotation,1.3699999999999999,-11.0,1.3061588151434966,,,1,,
rotation,1.46,-11.0,1.3517715113879156,,,1,,
rotation,1.5499999999999998,-11.0,1.4757752249802427,,,1,,
rotation,1.64,-11.0,1.553871088730678,,,1,,
rotation,1.73,-11.0,1.5957191894805953,,,1,,
rotation,1.8199999999999998,-11.0,1.6039372329842692,,,1,,
