t,cmd_speed,actual_speed,error
0.5,0.44999999999999996,0.38472394610173016,-0.06527605389826979
1.0,0.5999999999999999,0.5018373338346955,-0.09816266616530434
1.5,0.75,0.6983038609410153,-0.051696139058984736
2.0,0.8999999999999999,0.7845940800757369,-0.11540591992426297
2.5,1.05,0.9520084834632199,-0.09799151653678018
3.0,1.2,1.1380826559163837,-0.061917344083616266
3.5,1.2,1.1859849362362995,-0.01401506376370043
4.0,1.2,1.2143780051222892,0.014378005122289261
4.5,1.2,1.2206216027020202,0.020621602702020292
5.0,1.2,1.2396603973314662,0.0396603973314662
5.5,1.2,1.2310624985940848,0.03106249859408483
6.0,1.8,1.220655173297219,-0.579344826702781
6.5,1.8,1.5585880956805092,-0.2414119043194909
7.0,1.8,1.8233416614078788,0.023341661407878744
7.5,1.8,1.8021854682137874,0.0021854682137874004
8.0,1.8,1.8096958623674517,0.00969586236745168
8.5,1.8,1.7797893357501984,-0.02021066424980167
9.0,1.8,1.819557155340057,0.019557155340056864
9.5,1.55,1.7569155278745718,0.2069155278745718
10.0,1.3,1.574697725778499,0.27469772577849905
10.5,1.05,1.3399825658031048,0.2899825658031048
11.0,0.8,1.133563933503975,0.33356393350397506
11.5,0.55,0.8014928671507491,0.25149286715074903
12.0,0.30000000000000004,0.5830827776739298,0.28308277767392975
