Failed attempts: 248
Total attempts: 280
Success rate: 0.11428571428571428
Max speed: 1.0212091448766114
Demo cases: 
        Speed      Angle  Distance Success      Reward
0    0.200000 -20.000000         0   False  -15.315600
1    0.666667 -20.000000         0   False  -11.174217
2    1.133333 -20.000000         0   False  -14.791576
3    1.600000 -20.000000         0   False  -15.240178
4    2.066667 -20.000000         0   False  -14.282015
5    2.533333 -20.000000         0   False  -16.491036
6    3.000000 -20.000000         0   False  -18.912541
7    0.200000 -18.974359         0   False  -13.759229
8    0.666667 -18.974359         0   False  -15.189854
9    1.133333 -18.974359         0   False  -14.335278
10   1.600000 -18.974359         0   False  -15.915167
11   2.066667 -18.974359         0   False  -14.100793
12   2.533333 -18.974359         0   False  -16.749127
13   3.000000 -18.974359         0   False  -17.267386
14   0.200000 -17.948718         0   False  -13.497497
15   0.666667 -17.948718         0   False  -17.915401
16   1.133333 -17.948718         0   False  -16.188210
17   1.600000 -17.948718         0   False  -17.322476
18   2.066667 -17.948718         0   False  -14.430772
19   2.533333 -17.948718         0   False  -15.182646
20   3.000000 -17.948718         0   False  -13.733315
21   0.200000 -16.923077         0   False  -12.241279
22   0.666667 -16.923077         0   False  -17.954425
23   1.133333 -16.923077         0   False  -17.474604
24   1.600000 -16.923077         0   False  -19.969643
25   2.066667 -16.923077         0   False  -17.396921
26   2.533333 -16.923077         0   False  -14.681184
27   3.000000 -16.923077         0   False  -17.873058
28   0.200000 -15.897436         0   False  -15.111369
29   0.666667 -15.897436         0   False  -16.477666
30   1.133333 -15.897436         0   False  -14.977227
31   1.600000 -15.897436         0   False  -19.527891
32   2.066667 -15.897436         0   False  -16.893016
33   2.533333 -15.897436         0   False  -18.388131
34   3.000000 -15.897436         0   False  -19.018953
35   0.200000 -14.871795         0   False  -15.694127
36   0.666667 -14.871795         0   False  -17.468949
37   1.133333 -14.871795         0   False  -15.264578
38   1.600000 -14.871795         0   False  -17.202702
39   2.066667 -14.871795         0   False  -14.886732
40   2.533333 -14.871795         0   False  -20.888323
41   3.000000 -14.871795         0   False  -22.936377
42   0.200000 -13.846154         0   False  -15.834486
43   0.666667 -13.846154         0   False  -16.296683
44   1.133333 -13.846154         0   False  -17.086915
45   1.600000 -13.846154         0   False  -19.843226
46   2.066667 -13.846154         0   False  -21.783155
47   2.533333 -13.846154         0   False  -19.990271
48   3.000000 -13.846154         0   False  -18.263710
49   0.200000 -12.820513         0   False  -14.936537
50   0.666667 -12.820513         0   False  -15.495401
51   1.133333 -12.820513         0   False  -16.852430
52   1.600000 -12.820513         0   False  -21.851911
53   2.066667 -12.820513         0   False  -16.577577
54   2.533333 -12.820513         0   False  -20.962723
55   3.000000 -12.820513         0   False  -18.260887
56   0.200000 -11.794872         0   False  -14.591306
57   0.666667 -11.794872  0.300656    True  328.507803
58   1.133333 -11.794872         0   False   97.243139
59   1.600000 -11.794872         0   False  -13.737855
60   2.066667 -11.794872         0   False  -20.378991
61   2.533333 -11.794872         0   False  -21.403974
62   3.000000 -11.794872         0   False  -63.997674
63   0.200000 -10.769231         0   False  -15.984071
64   0.666667 -10.769231   0.24349    True  420.619318
65   1.133333 -10.769231         0   False  -18.458640
66   1.600000 -10.769231         0   False  -19.312714
67   2.066667 -10.769231         0   False  -20.189391
68   2.533333 -10.769231         0   False   -0.763554
69   3.000000 -10.769231         0   False  -21.944795
70   0.200000  -9.743590  0.393615    True  402.518827
71   0.666667  -9.743590         0   False  364.692512
72   1.133333  -9.743590         0   False  -20.640487
73   1.600000  -9.743590         0   False  -15.334618
74   2.066667  -9.743590         0   False  -16.991331
75   2.533333  -9.743590         0   False  -18.372724
76   3.000000  -9.743590         0   False  -19.381170
77   0.200000  -8.717949  0.344092    True  429.175094
78   0.666667  -8.717949         0   False  457.460908
79   1.133333  -8.717949         0   False  -31.734331
80   1.600000  -8.717949         0   False  -18.050502
81   2.066667  -8.717949         0   False  -16.699866
82   2.533333  -8.717949         0   False  -24.696796
83   3.000000  -8.717949         0   False -105.841991
84   0.200000  -7.692308         0   False  414.415226
85   0.666667  -7.692308   0.21582    True  456.337741
86   1.133333  -7.692308  0.729429    True  342.861883
87   1.600000  -7.692308         0   False  -16.304204
88   2.066667  -7.692308         0   False  -18.267008
89   2.533333  -7.692308         0   False  -19.426587
90   3.000000  -7.692308         0   False  -42.835338
91   0.200000  -6.666667  0.256122    True  444.378812
92   0.666667  -6.666667         0   False  421.424501
93   1.133333  -6.666667         0   False  -24.294841
94   1.600000  -6.666667         0   False  -20.438022
95   2.066667  -6.666667         0   False  -16.034422
96   2.533333  -6.666667         0   False  -41.150002
97   3.000000  -6.666667  1.021209    True   37.999970
98   0.200000  -5.641026  0.274121    True  440.874950
99   0.666667  -5.641026  0.253602    True  466.556439
100  1.133333  -5.641026         0   False  -20.576046
101  1.600000  -5.641026  1.001821    True  268.388424
102  2.066667  -5.641026         0   False  -22.037058
103  2.533333  -5.641026         0   False  -19.171185
104  3.000000  -5.641026         0   False -100.788954
105  0.200000  -4.615385         0   False  435.252903
106  0.666667  -4.615385         0   False  454.931899
107  1.133333  -4.615385  0.287946    True  305.376803
108  1.600000  -4.615385  0.831066    True  359.156155
109  2.066667  -4.615385         0   False  -19.230004
110  2.533333  -4.615385         0   False  -24.611692
111  3.000000  -4.615385         0   False -105.208405
112  0.200000  -3.589744         0   False  439.021297
113  0.666667  -3.589744         0   False  420.464269
114  1.133333  -3.589744  0.474288    True  216.596650
115  1.600000  -3.589744         0   False  -17.328168
116  2.066667  -3.589744         0   False  -15.637040
117  2.533333  -3.589744         0   False  -65.880368
118  3.000000  -3.589744         0   False  -15.962284
119  0.200000  -2.564103  0.388128    True  409.848692
120  0.666667  -2.564103         0   False  428.029408
121  1.133333  -2.564103         0   False  279.078527
122  1.600000  -2.564103  0.627018    True  397.500613
123  2.066667  -2.564103         0   False  -14.084020
124  2.533333  -2.564103         0   False  -24.758345
125  3.000000  -2.564103         0   False -132.857500
126  0.200000  -1.538462  0.315972    True  430.126156
127  0.666667  -1.538462         0   False  426.122689
128  1.133333  -1.538462  0.518905    True  369.363073
129  1.600000  -1.538462         0   False  216.384694
130  2.066667  -1.538462  0.483691    True  372.112680
131  2.533333  -1.538462  0.587929    True  194.000023
132  3.000000  -1.538462  0.239774    True -265.714113
133  0.200000  -0.512821         0   False  417.259740
134  0.666667  -0.512821  0.350518    True  341.518931
135  1.133333  -0.512821         0   False   78.696360
136  1.600000  -0.512821  0.777833    True  178.943248
137  2.066667  -0.512821         0   False  -22.038277
138  2.533333  -0.512821  0.834873    True  110.880568
139  3.000000  -0.512821  0.558932    True   43.243866
140  0.200000   0.512821         0   False  426.148661
141  0.666667   0.512821         0   False  367.176505
142  1.133333   0.512821         0   False  287.533409
143  1.600000   0.512821  0.676391    True  356.356244
144  2.066667   0.512821         0   False  189.779518
145  2.533333   0.512821         0   False  -23.598610
146  3.000000   0.512821         0   False -228.022420
147  0.200000   1.538462         0   False  388.184760
148  0.666667   1.538462         0   False  411.581714
149  1.133333   1.538462         0   False  -18.950009
150  1.600000   1.538462         0   False   25.106419
151  2.066667   1.538462  0.337044    True  135.663234
152  2.533333   1.538462         0   False    4.816549
153  3.000000   1.538462         0   False  -17.127874
154  0.200000   2.564103         0   False  370.422497
155  0.666667   2.564103         0   False  360.484414
156  1.133333   2.564103         0   False  -36.783185
157  1.600000   2.564103         0   False  -16.535733
158  2.066667   2.564103         0   False  -23.691237
159  2.533333   2.564103  0.260376    True   -6.501906
160  3.000000   2.564103         0   False  -22.672962
161  0.200000   3.589744         0   False  -10.480340
162  0.666667   3.589744         0   False   -8.334580
163  1.133333   3.589744         0   False  -13.739740
164  1.600000   3.589744         0   False  -24.739471
165  2.066667   3.589744  0.358461    True  185.296377
166  2.533333   3.589744  0.333485    True   85.201708
167  3.000000   3.589744         0   False -108.086373
168  0.200000   4.615385  0.295349    True  384.370285
169  0.666667   4.615385         0   False  340.277706
170  1.133333   4.615385         0   False   29.648460
171  1.600000   4.615385         0   False  -14.766561
172  2.066667   4.615385         0   False  213.694821
173  2.533333   4.615385         0   False  -17.556234
174  3.000000   4.615385         0   False -307.509541
175  0.200000   5.641026         0   False  -15.486384
176  0.666667   5.641026         0   False  360.471312
177  1.133333   5.641026         0   False -103.435751
178  1.600000   5.641026         0   False  -18.253141
179  2.066667   5.641026         0   False  177.983774
180  2.533333   5.641026         0   False -152.650989
181  3.000000   5.641026         0   False  -17.040315
182  0.200000   6.666667         0   False  345.477785
183  0.666667   6.666667         0   False  297.555583
184  1.133333   6.666667         0   False  -14.302345
185  1.600000   6.666667         0   False  -19.377651
186  2.066667   6.666667         0   False  -18.304347
187  2.533333   6.666667         0   False  -18.510003
188  3.000000   6.666667         0   False  -18.183134
189  0.200000   7.692308  0.252062    True  361.897845
190  0.666667   7.692308         0   False  314.648762
191  1.133333   7.692308         0   False   83.944846
192  1.600000   7.692308         0   False  -15.336558
193  2.066667   7.692308         0   False  -22.597304
194  2.533333   7.692308         0   False  -15.926557
195  3.000000   7.692308         0   False -130.099338
196  0.200000   8.717949         0   False  -14.634308
197  0.666667   8.717949         0   False  -15.027896
198  1.133333   8.717949         0   False  -19.739333
199  1.600000   8.717949         0   False   15.082637
200  2.066667   8.717949         0   False  -20.196884
201  2.533333   8.717949         0   False   22.295691
202  3.000000   8.717949         0   False  -20.553091
203  0.200000   9.743590         0   False  -13.554268
204  0.666667   9.743590         0   False  150.945783
205  1.133333   9.743590         0   False  -13.777034
206  1.600000   9.743590         0   False -105.694050
207  2.066667   9.743590         0   False  -20.434106
208  2.533333   9.743590         0   False  -19.157703
209  3.000000   9.743590         0   False  -16.800838
210  0.200000  10.769231         0   False  -14.307370
211  0.666667  10.769231         0   False  133.201370
212  1.133333  10.769231         0   False  -19.828493
213  1.600000  10.769231         0   False  -18.321580
214  2.066667  10.769231         0   False  -18.514174
215  2.533333  10.769231         0   False  -16.680462
216  3.000000  10.769231         0   False  -17.900257
217  0.200000  11.794872         0   False   -9.883004
218  0.666667  11.794872         0   False  -12.700039
219  1.133333  11.794872         0   False  -26.808017
