generator,test_idx,speed,r_leg,l_leg,mse,dtw,fft
fft_mlp_review,1033,0.3732557652971705,0.8370497822761536,0.8500540852546692,0.04030769820484049,0.4748563635737075,0.9344693125246222
fft_mlp,1033,0.3732557652971705,0.8370497822761536,0.8500540852546692,0.03276349299507219,0.39084204933740213,0.9537800176007076
raw_mocap,1033,0.3732557652971705,0.8370497822761536,0.8500540852546692,0.07270383738402372,0.5208067581951081,1.2292708291617338
cubic_spline,1033,0.3732557652971705,0.8370497822761536,0.8500540852546692,0.07333251981873408,0.43015360010657516,0.8061553972386033
cpg_matsuoka,1033,0.3732557652971705,0.8370497822761536,0.8500540852546692,0.05097350902010356,0.5410513656028221,2.056416962962148
fft_mlp_v2_baseline,1033,0.3732557652971705,0.8370497822761536,0.8500540852546692,0.0392056903629505,0.4702587931220565,1.0249483048991126
fft_mlp_v2_phase,1033,0.3732557652971705,0.8370497822761536,0.8500540852546692,0.038687211091256064,0.4681838232669896,1.0430558013521558
fft_mlp_v2_residual,1033,0.3732557652971705,0.8370497822761536,0.8500540852546692,0.06506282661561695,0.3785461671872289,0.8102047528544608
fft_mlp_v2_phase_residual,1033,0.3732557652971705,0.8370497822761536,0.8500540852546692,0.06200996019377739,0.3929041783857862,0.8113465836654589
fft_mlp_review,39,2.045375259049976,0.7743836045265198,0.7702332735061646,0.04827499416237008,0.4889062562439894,1.2112534640102437
fft_mlp,39,2.045375259049976,0.7743836045265198,0.7702332735061646,0.04995081965529374,0.5155636892557609,1.4151585675215002
raw_mocap,39,2.045375259049976,0.7743836045265198,0.7702332735061646,0.008045990250296947,0.1706471763284004,0.5385314972651681
cubic_spline,39,2.045375259049976,0.7743836045265198,0.7702332735061646,0.010226267723815812,0.2088212397962836,0.7189366437361645
cpg_matsuoka,39,2.045375259049976,0.7743836045265198,0.7702332735061646,0.10223870163320432,0.7724282549348419,2.5466505867320284
fft_mlp_v2_baseline,39,2.045375259049976,0.7743836045265198,0.7702332735061646,0.018353668480122518,0.2712438175369544,1.026581840922671
fft_mlp_v2_phase,39,2.045375259049976,0.7743836045265198,0.7702332735061646,0.02451774865846725,0.3275334030555519,1.1647864040530589
fft_mlp_v2_residual,39,2.045375259049976,0.7743836045265198,0.7702332735061646,0.010243016333294403,0.1885302138629866,0.60279948025531
fft_mlp_v2_phase_residual,39,2.045375259049976,0.7743836045265198,0.7702332735061646,0.011774004769509634,0.21687702229317468,0.6200414891395601
fft_mlp_review,339,0.6472529590578008,0.8192465901374817,0.8261839747428894,0.04132210103864132,0.4577228995548759,0.9189471659765487
fft_mlp,339,0.6472529590578008,0.8192465901374817,0.8261839747428894,0.02796160474779298,0.3778306035593801,1.1281047757822196
raw_mocap,339,0.6472529590578008,0.8192465901374817,0.8261839747428894,0.007448813890457581,0.13673916311399384,0.5572432770498613
cubic_spline,339,0.6472529590578008,0.8192465901374817,0.8261839747428894,0.014951933809527891,0.1569354732135985,0.5213711500146497
cpg_matsuoka,339,0.6472529590578008,0.8192465901374817,0.8261839747428894,0.07210983266925002,0.6336067956919781,2.257962728248421
