Speed Value,Angle,Ground Noise,Mean Speed,Success,Reward,Ground Resolution,AVG Success
0.4,-20.0,0.0,0.7769080089323606,,2186.1960952832565,0.1,1.0
0.88,-20.0,0.0,0.8647924251242347,,2288.0603099849973,0.1,1.0
1.3599999999999999,-20.0,0.0,1.1689113055836478,,2153.344494369101,0.1,1.0
1.8399999999999999,-20.0,0.0,1.3063585391295578,,1989.2816837520106,0.1,1.0
2.32,-20.0,0.0,1.4440507272098368,,167.99821685626813,0.1,0.7
2.8,-20.0,0.0,1.987543641984,,179.99850007703523,0.1,0.5
0.4,-19.0,0.0,0.7509732894318724,,2163.9423506580856,0.1,1.0
0.88,-19.0,0.0,0.8550999105504153,,2294.249883962999,0.1,1.0
1.3599999999999999,-19.0,0.0,1.0760626718584883,,2113.9757912025384,0.1,1.0
1.8399999999999999,-19.0,0.0,1.2720338996022051,,1861.6412811937096,0.1,1.0
2.32,-19.0,0.0,1.531994709952673,,844.7124363514978,0.1,0.8
2.8,-19.0,0.0,1.9903122368091117,,543.8436233914322,0.1,0.4
0.4,-18.0,0.0,0.7544880883868148,,2131.8896853305737,0.1,1.0
0.88,-18.0,0.0,0.8642271215739917,,2305.4144006395686,0.1,1.0
1.3599999999999999,-18.0,0.0,1.0562257796680188,,1976.6170036003343,0.1,1.0
1.8399999999999999,-18.0,0.0,1.2939312783536845,,2010.9765510132004,0.1,1.0
2.32,-18.0,0.0,1.6419066445855788,,1432.0536394036012,0.1,0.8
2.8,-18.0,0.0,1.8868940837519355,,308.3212679419078,0.1,0.7
0.4,-17.0,0.0,0.6792639765365759,,2289.4969955987594,0.1,1.0
0.88,-17.0,0.0,0.807040753036393,,2331.5867411712056,0.1,1.0
1.3599999999999999,-17.0,0.0,1.054809112544322,,1960.4594143693807,0.1,1.0
1.8399999999999999,-17.0,0.0,1.3016072930483678,,1826.4326674920615,0.1,1.0
2.32,-17.0,0.0,1.4363486010062319,,1840.548506688816,0.1,1.0
2.8,-17.0,0.0,1.5850521422957433,,881.0414903326345,0.1,1.0
0.4,-16.0,0.0,0.6820052625849917,,2300.908534522885,0.1,1.0
0.88,-16.0,0.0,0.7851082757522564,,2357.2058726744085,0.1,1.0
1.3599999999999999,-16.0,0.0,1.0033719770241052,,2108.4933343156067,0.1,1.0
1.8399999999999999,-16.0,0.0,1.2126626729899297,,2082.938357241968,0.1,1.0
2.32,-16.0,0.0,1.4677315933344117,,1275.983775675858,0.1,1.0
2.8,-16.0,0.0,1.5985378681662934,,1659.815775606838,0.1,0.5
0.4,-15.0,0.0,0.6329470689909715,,2094.568612182661,0.1,1.0
0.88,-15.0,0.0,0.7586621829560326,,2392.6478953048068,0.1,1.0
1.3599999999999999,-15.0,0.0,0.9913113494638944,,2186.251530160706,0.1,1.0
1.8399999999999999,-15.0,0.0,1.2919112979000729,,1835.2852882563784,0.1,1.0
2.32,-15.0,0.0,1.2473002368808563,,1848.0852421041484,0.1,0.9
2.8,-15.0,0.0,1.5777741129573908,,1131.3172781019596,0.1,0.6
0.4,-14.0,0.0,0.5851593258936921,,2379.8240327526555,0.1,1.0
0.88,-14.0,0.0,0.7441031217767042,,2327.2806957373245,0.1,1.0
1.3599999999999999,-14.0,0.0,0.9733770110959645,,2223.914165935192,0.1,1.0
1.8399999999999999,-14.0,0.0,1.2867453463827847,,1664.9556916926294,0.1,1.0
2.32,-14.0,0.0,1.3935344011063382,,1620.8473524298822,0.1,0.8
2.8,-14.0,0.0,1.5031876534614832,,293.62608792335544,0.1,0.7
0.4,-13.0,0.0,0.6148221712442977,,2498.5053204511055,0.1,1.0
0.88,-13.0,0.0,0.6898037476608019,,2455.344423665555,0.1,1.0
1.3599999999999999,-13.0,0.0,0.9368234129684263,,2129.3135772152677,0.1,1.0
1.8399999999999999,-13.0,0.0,1.1609595267587476,,1764.0270545754158,0.1,1.0
2.32,-13.0,0.0,1.216232459224314,,461.1064028283204,0.1,0.8
2.8,-13.0,0.0,1.5598899510779256,,143.42698162024087,0.1,0.4
0.4,-12.0,0.0,0.6132652519779939,,2445.6237239807106,0.1,1.0
0.88,-12.0,0.0,0.6969297487359637,,2206.175918062824,0.1,1.0
1.3599999999999999,-12.0,0.0,1.0083177522462226,,2077.248938640132,0.1,1.0
1.8399999999999999,-12.0,0.0,1.1903525886186292,,1822.8004820577166,0.1,1.0
2.32,-12.0,0.0,1.2173263399030294,,1626.1097286061713,0.1,0.7
2.8,-12.0,0.0,1.5294046425449357,,1434.3277452092434,0.1,0.6
