generator,speed,mse,dtw,fft_fidelity
fft_mlp,0.3,0.038784046841377214,0.4581115506081214,1.5474135428536169
fft_mlp,0.6,0.05840211581260249,0.5166435371451003,1.8481677708763373
fft_mlp,0.9,0.06201177882390444,0.5443028410214057,2.006203990353225
fft_mlp,1.2,0.1394966043843043,0.7621269110777953,2.6185002800754362
fft_mlp,1.5,0.11705187421632762,0.717045102187323,2.4882943990643107
fft_mlp,1.8,0.10632704169724556,0.7260023511791236,2.8236507402723885
fft_mlp,2.0,0.1535715459264756,0.8949411651357889,3.3822694750725155
raw_mocap,0.3,0.03999517544178794,0.2603421258754867,0.6962446271408806
raw_mocap,0.6,0.07481387355261775,0.37371805342495773,1.3071620903392633
raw_mocap,0.9,0.07216590607005179,0.373234955608495,1.3992870161930888
raw_mocap,1.2,0.09768998821618415,0.4616464733027233,1.6318104432203524
raw_mocap,1.5,0.12206181567469364,0.5254957740992734,1.8490656872854228
raw_mocap,1.8,0.10126134623999967,0.5407786194522877,1.9632652460101552
raw_mocap,2.0,0.12554417598086423,0.6083977314642393,2.1549846735192486
cubic_spline,0.3,0.0492173164755213,0.33742809701020654,0.8965482890031101
cubic_spline,0.6,0.058492835861227,0.3981340970114931,1.5019582001733387
cubic_spline,0.9,0.06862531944822235,0.431607454839816,1.5968932062187415
cubic_spline,1.2,0.08827800470901935,0.4728620105877456,1.6412354252458956
cubic_spline,1.5,0.11336342018598507,0.5296335960565032,1.8100200020502717
cubic_spline,1.8,0.10603979046646832,0.5807282459241233,2.1606600437349273
cubic_spline,2.0,0.1238131334136468,0.6440806134146753,2.3700269682436157
cpg_matsuoka,0.3,0.0231603162837707,0.3613291106858738,1.3705009839388058
cpg_matsuoka,0.6,0.05263842026322863,0.5455037723846222,1.7409515458131308
cpg_matsuoka,0.9,0.06457280981270103,0.6033013361278503,1.7531326511898797
cpg_matsuoka,1.2,0.07174463150466086,0.6336527516276623,2.1646584833451104
cpg_matsuoka,1.5,0.09423044946242178,0.732041674766108,2.5007054444739825
cpg_matsuoka,1.8,0.0715053086337575,0.6425014123945042,1.8815875920526075
cpg_matsuoka,2.0,0.08626671825682579,0.7007259575298104,2.0079573436807503
fft_mlp__morphology,0.752,0.06044238433241844,0.0,0.0
fft_mlp__morphology,0.8146666666666667,0.059447843581438065,0.0,0.0
fft_mlp__morphology,0.8773333333333333,0.021379370242357254,0.0,0.0
fft_mlp__morphology,0.94,0.0,0.0,0.0
fft_mlp__morphology,1.0026666666666666,0.01993933692574501,0.0,0.0
fft_mlp__morphology,1.0653333333333332,0.021108483895659447,0.0,0.0
fft_mlp__morphology,1.128,0.013391644693911076,0.0,0.0
raw_mocap__morphology,0.752,0.0,0.0,0.0
raw_mocap__morphology,0.8146666666666667,0.0,0.0,0.0
raw_mocap__morphology,0.8773333333333333,0.0,0.0,0.0
raw_mocap__morphology,0.94,0.0,0.0,0.0
raw_mocap__morphology,1.0026666666666666,0.0,0.0,0.0
raw_mocap__morphology,1.0653333333333332,0.0,0.0,0.0
raw_mocap__morphology,1.128,0.0,0.0,0.0
cubic_spline__morphology,0.752,0.0,0.0,0.0
cubic_spline__morphology,0.8146666666666667,0.0,0.0,0.0
cubic_spline__morphology,0.8773333333333333,0.0,0.0,0.0
cubic_spline__morphology,0.94,0.0,0.0,0.0
cubic_spline__morphology,1.0026666666666666,0.0,0.0,0.0
cubic_spline__morphology,1.0653333333333332,0.0,0.0,0.0
cubic_spline__morphology,1.128,0.0,0.0,0.0
cpg_matsuoka__morphology,0.752,0.0,0.0,0.0
cpg_matsuoka__morphology,0.8146666666666667,0.0,0.0,0.0
cpg_matsuoka__morphology,0.8773333333333333,0.0,0.0,0.0
cpg_matsuoka__morphology,0.94,0.0,0.0,0.0
cpg_matsuoka__morphology,1.0026666666666666,0.0,0.0,0.0
cpg_matsuoka__morphology,1.0653333333333332,0.0,0.0,0.0
cpg_matsuoka__morphology,1.128,0.0,0.0,0.0
