speed,joint,f0_policy,f0_mocap,delta_f0_rel,centroid_policy,centroid_mocap,centroid_abs_err,spectral_mag_mae,log_power_ratio
0.5,rhip,0.3333333333333333,1.0,0.6666666666666667,3.660744860412978,2.4025911801748894,1.2581536802380886,0.5195501898245598,-1.5124138710439863
0.5,rknee,0.3333333333333333,1.0,0.6666666666666667,3.9522542993251406,3.3098559226840236,0.642398376641117,0.5470916243843541,-1.643716873155379
0.5,rankle,0.3333333333333333,0.3333333333333333,0.0,4.197627416353724,0.0,4.197627416353724,0.488359591410699,nan
0.5,lhip,0.3333333333333333,1.0,0.6666666666666667,3.817467894646391,2.9193429371321535,0.8981249575142374,0.5160483513719091,-1.3435429668584262
0.5,lknee,0.3333333333333333,1.0,0.6666666666666667,2.0865765699981678,2.6754730888262266,0.5888965188280588,0.45425921238228556,-1.4517813589476058
0.5,lankle,0.3333333333333333,0.3333333333333333,0.0,1.1007074994204735,0.0,1.1007074994204735,0.252886502090533,nan
1.0,rhip,0.6666666666666666,7.333333333333333,0.9090909090909091,4.371073774352655,11.953766166244026,7.582692391891372,0.45137128560884693,-1.0201983830841863
1.0,rknee,0.3333333333333333,5.0,0.9333333333333333,4.313894809916037,9.663901132250906,5.3500063223348695,0.48953223360279424,-1.48081200540042
1.0,rankle,0.3333333333333333,0.3333333333333333,0.0,4.922543882721545,0.0,4.922543882721545,0.522282235786082,nan
1.0,lhip,0.6666666666666666,7.333333333333333,0.9090909090909091,3.662352345359063,12.242103381819451,8.579751036460388,0.4997309382945338,-1.0597635304659072
1.0,lknee,0.6666666666666666,5.0,0.8666666666666666,2.4157605758796405,11.018710095019507,8.602949519139866,0.5639750901072386,-1.5256257150028423
1.0,lankle,0.3333333333333333,0.3333333333333333,0.0,1.3923826831102084,0.0,1.3923826831102084,0.2531758377237278,nan
1.5,rhip,1.0,8.0,0.875,3.866300593453937,12.025563780267793,8.159263186813856,0.5286322753463927,-1.0717824049650737
1.5,rknee,0.6666666666666666,8.0,0.9166666666666666,3.5845122125359357,15.594204720374709,12.009692507838773,0.4494677848263559,-1.501743139424161
1.5,rankle,0.3333333333333333,0.3333333333333333,0.0,4.877250311329065,0.0,4.877250311329065,0.43821846922313273,nan
1.5,lhip,1.0,8.0,0.875,3.967931948963403,12.201507299274267,8.233575350310865,0.5699750605171546,-1.1541383867779353
1.5,lknee,1.0,8.0,0.875,3.81564620816432,11.957421731923061,8.14177552375874,0.5779227490148185,-1.8166889358447837
1.5,lankle,0.3333333333333333,0.3333333333333333,0.0,7.237613448124365,0.0,7.237613448124365,0.25388154567352345,nan
