demo type,cmd speed,angle,mean speed,noise level,resolution,success,max range,trial_no
rotation,0.2,-15.0,0.4148801560490489,,,1,,
rotation,0.29000000000000004,-15.0,0.334503205034938,,,1,,
rotation,0.38,-15.0,0.4185350365399998,,,1,,
rotation,0.47000000000000003,-15.0,0.48779372664250653,,,1,,
rotation,0.56,-15.0,0.5834277414448433,,,1,,
rotation,0.6499999999999999,-15.0,0.6563429297521409,,,1,,
rotation,0.74,-15.0,0.7395437123617112,,,1,,
rotation,0.8300000000000001,-15.0,0.8145414868936101,,,1,,
rotation,0.9199999999999999,-15.0,0.9024697534997976,,,1,,
rotation,1.01,-15.0,0.9950559641023639,,,1,,
rotation,1.0999999999999999,-15.0,1.0712342579771492,,,1,,
rotation,1.19,-15.0,1.1494001419384736,,,1,,
rotation,1.28,-15.0,1.2348421902985218,,,1,,
rotation,1.3699999999999999,-15.0,1.315404021322311,,,1,,
rotation,1.46,-15.0,1.3912134291136455,,,1,,
rotation,1.5499999999999998,-15.0,1.4880220647886304,,,1,,
rotation,1.64,-15.0,1.580496839141156,,,1,,
rotation,1.73,-15.0,1.644435744838497,,,1,,
rotation,1.8199999999999998,-15.0,1.7254326818825463,,,1,,
rotation,1.91,-15.0,1.8009832070303728,,,1,,
rotation,2.0,-15.0,1.8865788365057672,,,1,,
rotation,0.2,-14.0,0.2889679188564226,,,1,,
rotation,0.29000000000000004,-14.0,0.0,,,0,,
rotation,0.38,-14.0,0.4297682298386547,,,1,,
rotation,0.47000000000000003,-14.0,0.5021529303578618,,,1,,
rotation,0.56,-14.0,0.575375479799734,,,1,,
rotation,0.6499999999999999,-14.0,0.6539854312730438,,,1,,
rotation,0.74,-14.0,0.7348270246231615,,,1,,
rotation,0.8300000000000001,-14.0,0.8231352366753971,,,1,,
rotation,0.9199999999999999,-14.0,0.9061453759987362,,,1,,
rotation,1.01,-14.0,0.9891575392405171,,,1,,
rotation,1.0999999999999999,-14.0,1.0777838715397994,,,1,,
rotation,1.19,-14.0,1.1542139670410634,,,1,,
rotation,1.28,-14.0,1.2331906324580229,,,1,,
