demo type,cmd speed,angle,mean speed,noise level,resolution,success,max range,trial_no,steps taken
rotation,0.2,-15.0,0.3741550944667116,,,1,,,75.0
rotation,0.29000000000000004,-15.0,0.38952371994183355,,,1,,,63.0
rotation,0.38,-15.0,0.4519674731328413,,,1,,,76.0
rotation,0.47000000000000003,-15.0,0.6630742669553166,,,1,,,64.0
rotation,0.56,-15.0,0.7248175334914532,,,1,,,72.0
rotation,0.6499999999999999,-15.0,0.7189072066195794,,,1,,,84.0
rotation,0.74,-15.0,0.798578541069002,,,1,,,72.0
rotation,0.8300000000000001,-15.0,0.9148863463403449,,,1,,,61.0
rotation,0.9199999999999999,-15.0,1.0139457603866187,,,1,,,81.0
rotation,1.01,-15.0,1.0740719648509796,,,1,,,59.0
rotation,1.0999999999999999,-15.0,1.2123054906026258,,,1,,,57.0
rotation,1.19,-15.0,1.2791446343048587,,,1,,,49.0
rotation,1.28,-15.0,1.318365466533166,,,1,,,37.0
rotation,1.3699999999999999,-15.0,1.3545100468167137,,,1,,,59.0
rotation,1.46,-15.0,1.442996865842488,,,1,,,61.0
rotation,1.5499999999999998,-15.0,1.4566068398508172,,,1,,,51.0
rotation,1.64,-15.0,1.5226862783198583,,,1,,,51.0
rotation,1.73,-15.0,1.6123397534518447,,,1,,,39.0
rotation,1.8199999999999998,-15.0,1.7178171499710322,,,1,,,43.0
rotation,1.91,-15.0,1.787596585858143,,,1,,,39.0
rotation,2.0,-15.0,1.90056071713894,,,1,,,38.0
rotation,0.2,-14.0,0.3521670061354345,,,1,,,43.0
rotation,0.29000000000000004,-14.0,0.3804515357311189,,,1,,,58.0
rotation,0.38,-14.0,0.495216006594954,,,1,,,83.0
rotation,0.47000000000000003,-14.0,0.5978597485001532,,,1,,,76.0
rotation,0.56,-14.0,0.636655938548003,,,1,,,84.0
rotation,0.6499999999999999,-14.0,0.7302841900104076,,,1,,,61.0
rotation,0.74,-14.0,0.8231971513839019,,,1,,,76.0
rotation,0.8300000000000001,-14.0,0.859415755830355,,,1,,,75.0
rotation,0.9199999999999999,-14.0,0.9957814323743195,,,1,,,58.0
rotation,1.01,-14.0,1.0677870188222751,,,1,,,47.0
rotation,1.0999999999999999,-14.0,1.1442567221879012,,,1,,,64.0
rotation,1.19,-14.0,1.2800534410301048,,,1,,,50.0
rotation,1.28,-14.0,1.28490899457922,,,1,,,74.0
rotation,1.3699999999999999,-14.0,1.370692032199185,,,1,,,45.0
rotation,1.46,-14.0,1.4109801599124154,,,1,,,43.0
rotation,1.5499999999999998,-14.0,1.480556876129361,,,1,,,50.0
rotation,1.64,-14.0,1.6159618511984333,,,1,,,39.0
rotation,1.73,-14.0,1.6520028531935929,,,1,,,33.0
rotation,1.8199999999999998,-14.0,1.6902362957569073,,,1,,,50.0
rotation,1.91,-14.0,1.792192878594565,,,1,,,42.0
rotation,2.0,-14.0,1.8643379334785255,,,1,,,35.0
rotation,0.2,-13.0,0.32664932903525756,,,1,,,33.0
rotation,0.29000000000000004,-13.0,0.34680612967554797,,,1,,,64.0
rotation,0.38,-13.0,0.4427869067105689,,,1,,,45.0
rotation,0.47000000000000003,-13.0,0.6254191018572318,,,1,,,66.0
rotation,0.56,-13.0,0.6144818483712399,,,1,,,79.0
rotation,0.6499999999999999,-13.0,0.6878252061731303,,,1,,,110.0
rotation,0.74,-13.0,0.7922698513447047,,,1,,,78.0
rotation,0.8300000000000001,-13.0,0.846905021878343,,,1,,,77.0
rotation,0.9199999999999999,-13.0,0.9838358710865486,,,1,,,67.0
rotation,1.01,-13.0,1.0521786781250289,,,1,,,52.0
rotation,1.0999999999999999,-13.0,1.2433064333126593,,,1,,,48.0
rotation,1.19,-13.0,1.208497060951431,,,1,,,56.0
rotation,1.28,-13.0,1.2566758898771104,,,1,,,50.0
rotation,1.3699999999999999,-13.0,1.3758350345104005,,,1,,,63.0
rotation,1.46,-13.0,1.4070987588444535,,,1,,,58.0
rotation,1.5499999999999998,-13.0,1.4567420380886122,,,1,,,47.0
rotation,1.64,-13.0,1.538514411669783,,,1,,,42.0
rotation,1.73,-13.0,1.6038773200592817,,,1,,,38.0
rotation,1.8199999999999998,-13.0,1.6892524084466574,,,1,,,42.0
rotation,1.91,-13.0,1.760356780030084,,,1,,,28.0
rotation,2.0,-13.0,1.8329682748220026,,,1,,,28.0
rotation,0.2,-12.0,0.2955245512657401,,,1,,,58.0
rotation,0.29000000000000004,-12.0,0.3401385535449713,,,1,,,60.0
rotation,0.38,-12.0,0.4186725352667387,,,1,,,39.0
rotation,0.47000000000000003,-12.0,0.5017035944860622,,,1,,,66.0
rotation,0.56,-12.0,0.564184910598426,,,1,,,80.0
