generator,test_idx,speed,r_leg,l_leg,mse,dtw,fft
fft_mlp_review,1033,0.3732557652971705,0.8370497822761536,0.8500540852546692,0.04030769820484049,0.4748563635737075,0.9344693125246222
fft_mlp,1033,0.3732557652971705,0.8370497822761536,0.8500540852546692,0.07091336421387483,0.307571935761624,0.8036160952628078
fft_mlp_old,1033,0.3732557652971705,0.8370497822761536,0.8500540852546692,0.0709010100475264,0.30996533163328166,0.8664263962398498
raw_mocap,1033,0.3732557652971705,0.8370497822761536,0.8500540852546692,0.07270383738402372,0.5208067581951081,1.2292708291617338
cubic_spline,1033,0.3732557652971705,0.8370497822761536,0.8500540852546692,0.07333251981873408,0.43015360010657516,0.8061553972386033
cpg_matsuoka,1033,0.3732557652971705,0.8370497822761536,0.8500540852546692,0.05097350902010356,0.5410513656028221,2.056416962962148
fft_mlp_review,39,2.045375259049976,0.7743836045265198,0.7702332735061646,0.04827499416237008,0.4889062562439894,1.2112534640102437
fft_mlp,39,2.045375259049976,0.7743836045265198,0.7702332735061646,0.005673453115019777,0.14260349163864852,0.4886452043765184
fft_mlp_old,39,2.045375259049976,0.7743836045265198,0.7702332735061646,0.0034346924151154967,0.11326789896530538,0.3693998434193346
raw_mocap,39,2.045375259049976,0.7743836045265198,0.7702332735061646,0.008045990250296947,0.1706471763284004,0.5385314972651681
cubic_spline,39,2.045375259049976,0.7743836045265198,0.7702332735061646,0.010226267723815812,0.2088212397962836,0.7189366437361645
cpg_matsuoka,39,2.045375259049976,0.7743836045265198,0.7702332735061646,0.10223870163320432,0.7724282549348419,2.5466505867320284
fft_mlp_review,339,0.6472529590578008,0.8192465901374817,0.8261839747428894,0.04132210103864132,0.4577228995548759,0.9189471659765487
fft_mlp,339,0.6472529590578008,0.8192465901374817,0.8261839747428894,0.011874575139149019,0.136555646328485,0.41107749723153003
fft_mlp_old,339,0.6472529590578008,0.8192465901374817,0.8261839747428894,0.011247623244689675,0.12628611394513573,0.31875040376123137
raw_mocap,339,0.6472529590578008,0.8192465901374817,0.8261839747428894,0.007448813890457581,0.13673916311399384,0.5572432770498613
cubic_spline,339,0.6472529590578008,0.8192465901374817,0.8261839747428894,0.014951933809527891,0.1569354732135985,0.5213711500146497
cpg_matsuoka,339,0.6472529590578008,0.8192465901374817,0.8261839747428894,0.07210983266925002,0.6336067956919781,2.257962728248421
fft_mlp_review,961,0.9200383994785056,0.79127436876297,0.7877861261367798,0.015838012169910615,0.2749942914916965,0.7767011088328969
fft_mlp,961,0.9200383994785056,0.79127436876297,0.7877861261367798,0.0019742499389459305,0.10021799738449806,0.308068198413827
fft_mlp_old,961,0.9200383994785056,0.79127436876297,0.7877861261367798,0.0006321086644204362,0.05863449985020037,0.15922522974660505
raw_mocap,961,0.9200383994785056,0.79127436876297,0.7877861261367798,0.03224680253926873,0.2824375190238945,0.7817804847290154
cubic_spline,961,0.9200383994785056,0.79127436876297,0.7877861261367798,0.006764975730533955,0.14763575479880184,0.47631776368414896
cpg_matsuoka,961,0.9200383994785056,0.79127436876297,0.7877861261367798,0.07768663018443477,0.6637401461537698,2.4125342767134113
fft_mlp_review,525,0.885204331592847,0.7341349720954895,0.7153636813163757,0.01711555166699291,0.24783079837536678,0.7069664075611176
fft_mlp,525,0.885204331592847,0.7341349720954895,0.7153636813163757,0.016374880327099467,0.08839758735500894,0.1647677311783711
fft_mlp_old,525,0.885204331592847,0.7341349720954895,0.7153636813163757,0.017570687205196348,0.07337899634757958,0.17429402765194354
raw_mocap,525,0.885204331592847,0.7341349720954895,0.7153636813163757,0.011215337761718994,0.12245649357258927,0.3329385314318177
cubic_spline,525,0.885204331592847,0.7341349720954895,0.7153636813163757,0.009634811149695416,0.12280353948805724,0.3630211846419331
cpg_matsuoka,525,0.885204331592847,0.7341349720954895,0.7153636813163757,0.06728873587324781,0.6157142977878635,2.153045136444096
fft_mlp_review,189,1.050571823120117,0.8966478109359741,0.8902934789657593,0.015093296964608623,0.26119737076585825,0.7240552133983459
fft_mlp,189,1.050571823120117,0.8966478109359741,0.8902934789657593,0.018519722664311542,0.15074931550081444,0.41131819661706404
fft_mlp_old,189,1.050571823120117,0.8966478109359741,0.8902934789657593,0.016688273353107193,0.09611708798316462,0.18149009067736868
raw_mocap,189,1.050571823120117,0.8966478109359741,0.8902934789657593,0.03276255208690188,0.2844042019839426,0.8333958398693989
cubic_spline,189,1.050571823120117,0.8966478109359741,0.8902934789657593,0.01371947837027872,0.19015451897115748,0.5534774810390529
cpg_matsuoka,189,1.050571823120117,0.8966478109359741,0.8902934789657593,0.06701768403781964,0.6220126262829092,2.1570066305781253
fft_mlp_review,732,1.2044137034696691,0.8427228331565857,0.8473520874977112,0.017662453102302675,0.25407431148792087,0.7128208708370919
fft_mlp,732,1.2044137034696691,0.8427228331565857,0.8473520874977112,0.007768321647776224,0.12339792975235889,0.329095201325332
fft_mlp_old,732,1.2044137034696691,0.8427228331565857,0.8473520874977112,0.006959904612636055,0.11961536439630865,0.33779117449960666
raw_mocap,732,1.2044137034696691,0.8427228331565857,0.8473520874977112,0.006775211836981175,0.07910489319009753,0.2098407669748766
cubic_spline,732,1.2044137034696691,0.8427228331565857,0.8473520874977112,0.005671742137354008,0.13809203812883025,0.43374943962308654
cpg_matsuoka,732,1.2044137034696691,0.8427228331565857,0.8473520874977112,0.08304561763803665,0.67914940741982,2.530363199560773
fft_mlp_review,5,0.40696708700333273,0.7312095761299133,0.7348682284355164,0.03648797178198688,0.438200285757846,1.148329592373436
fft_mlp,5,0.40696708700333273,0.7312095761299133,0.7348682284355164,0.020893674721113743,0.30115587184332854,0.8778811555527904
fft_mlp_old,5,0.40696708700333273,0.7312095761299133,0.7348682284355164,0.002980228564119889,0.10676436422929227,0.2781902314796549
raw_mocap,5,0.40696708700333273,0.7312095761299133,0.7348682284355164,0.1292390290576927,0.6447090515579397,0.9649237769103896
cubic_spline,5,0.40696708700333273,0.7312095761299133,0.7348682284355164,0.12170208222674757,0.5762441219005326,1.057644767996737
cpg_matsuoka,5,0.40696708700333273,0.7312095761299133,0.7348682284355164,0.0573869409557202,0.5772923536195236,2.033259657052873
fft_mlp_review,442,1.0313938683476942,0.8017832636833191,0.8062092661857605,0.013026876174399703,0.22686622649830906,0.694013738151611
fft_mlp,442,1.0313938683476942,0.8017832636833191,0.8062092661857605,0.006050259944923128,0.07494593354027815,0.21322533312653436
fft_mlp_old,442,1.0313938683476942,0.8017832636833191,0.8062092661857605,0.006521654222862928,0.07039733586966712,0.19422735730909046
