Speed Value,Angle,Ground Noise,Mean Speed,Success,Reward
0.1,-20.0,0.0,0.007578807208406144,False,-7.444355573809059
0.4625,-20.0,0.0,0.007969417672190855,False,-12.629726577161351
0.825,-20.0,0.0,0.008915244241796867,False,-9.734287941358671
1.1875,-20.0,0.0,0.009022169723208892,False,-11.456158920304073
1.55,-20.0,0.0,0.009255640098025087,False,-11.391340896743905
1.9125,-20.0,0.0,0.0094146602130908,False,-11.61251705230537
2.275,-20.0,0.0,0.009810971011557482,False,-12.682740946397557
2.6375,-20.0,0.0,0.00944527900807508,False,-8.968488947954091
3.0,-20.0,0.0,0.009341607587293453,False,-10.014464268558692
0.1,-19.0,0.0,0.008239954079129305,False,-7.188125045026336
0.4625,-19.0,0.0,0.00868085322124759,False,-7.346419068673994
0.825,-19.0,0.0,0.009014993596241267,False,-8.11132991770793
1.1875,-19.0,0.0,0.007939239186266375,False,-6.541275514575586
1.55,-19.0,0.0,0.009778404514920723,False,-9.821844649703435
1.9125,-19.0,0.0,0.010214386822800845,False,-10.25236120831167
2.275,-19.0,0.0,0.009448729737151124,False,-10.668435490515444
2.6375,-19.0,0.0,0.009566842864118871,False,-8.98622829362543
3.0,-19.0,0.0,0.008240759689274057,False,-7.6578163244558795
0.1,-18.000000000000004,0.0,0.010097898999417803,False,-7.385375294803934
0.4625,-18.000000000000004,0.0,0.010482534708418546,False,-8.211603763243428
0.825,-18.000000000000004,0.0,0.008148591889032856,False,-2.6820529335333347
1.1875,-18.000000000000004,0.0,0.009455926244194302,False,-6.72120126524256
1.55,-18.000000000000004,0.0,0.008983428466053342,False,-2.629526677254594
1.9125,-18.000000000000004,0.0,0.010301831992620634,False,-13.184336228590556
2.275,-18.000000000000004,0.0,0.009721847314933873,False,-8.965255227489353
2.6375,-18.000000000000004,0.0,0.00954277348356267,False,-7.963193857716596
3.0,-18.000000000000004,0.0,0.008757695511229551,False,-6.347884561496815
0.1,-16.999999999999996,0.0,0.0,False,1455.730753528023
0.4625,-16.999999999999996,0.0,0.0,False,1353.0482956219582
0.825,-16.999999999999996,0.0,0.0,False,1431.9250813646
1.1875,-16.999999999999996,0.0,0.1396581505242826,False,127.4523613915104
1.55,-16.999999999999996,0.0,0.0,False,1783.6308715542593
1.9125,-16.999999999999996,0.0,0.5333595258286146,False,366.04626011419793
2.275,-16.999999999999996,0.0,0.0,False,1677.6086507016353
2.6375,-16.999999999999996,0.0,0.11654085306055958,False,52.49190828419943
3.0,-16.999999999999996,0.0,0.0,False,1453.9868785833676
0.1,-16.0,0.0,0.5384331925637982,True,1322.0754610831275
0.4625,-16.0,0.0,0.40993488715223875,True,1367.5976534697093
0.825,-16.0,0.0,0.5307795240156911,True,1625.5581370941134
1.1875,-16.0,0.0,0.8383141417323886,False,1195.1274585262681
1.55,-16.0,0.0,0.6120081558319709,False,818.9879684430448
1.9125,-16.0,0.0,0.9097925041381959,True,1789.8194954647618
2.275,-16.0,0.0,1.0015670544046034,False,938.1179749790329
2.6375,-16.0,0.0,1.5525959935375253,False,1072.7754694987552
