step,episode,alive,contact,speed,torque,im_hip_pos,im_knee_pos,im_ankle_pos,im_hip_vel,im_knee_vel,im_ankle_vel
1,0,0.5,0.0,0.03729489780029284,-0.2612253407282489,2.2472285645567483e-08,4.576110151163321e-10,0.11763700821962841,0.0004679625883940537,0.0017343348436774132,0.03906892936978686
2,0,0.5,0.0,0.031905458687222374,-0.22963098330157145,5.63929638320702e-07,0.0024214470235563042,0.00016329881690574393,0.0010521288545351161,0.004565191190922974,1.8992662685304207e-10
3,0,0.5,0.0,0.032984340006667556,-0.21205484505210603,0.0011078126317784827,1.7188820719901903e-08,6.00778771887091e-08,0.0002449063431562063,0.007970196740283016,1.2051528137133501e-06
4,0,0.5,0.0,0.03513124244820664,-0.30306575021573473,6.213954520932451e-09,3.629001568055438e-10,2.642498305997887e-09,0.0010219024539545663,0.06334315511754793,0.003356422980469847
5,0,0.5,0.0,0.04380518662347394,-0.19525811885084426,2.0624098546600155e-05,1.665793269257818e-06,3.0023036397640815e-05,0.08892602226968929,0.029951994115299613,0.08220356243262171
6,0,0.5,0.0,0.06317147653194707,-0.21280098408460618,0.00043025151003333456,1.7232119840513225e-06,2.9604127665779332e-05,0.08929218781563368,0.013064214954085149,0.09097487069366118
7,0,0.5,0.0,0.06652371455143356,-0.19273884168692998,0.00018623503386243443,0.0010999209180537323,3.737172641104499e-07,0.08077565554745521,0.036905722824470515,0.017345918076834742
8,0,0.5,0.0,0.06716846085661243,-0.24075486234256202,0.0006488969935600496,1.2727828468381448e-09,6.901881081060509e-07,0.018458681383785418,0.026395713454948695,2.2180731140738042e-10
9,0,0.5,0.0,0.0687902001468651,-0.2447928445679801,1.649753043577808e-05,4.3038759493874743e-05,1.0820798221691999e-07,0.02431649862407229,0.04107910625757965,0.00022363792241122368
10,0,0.5,0.0,0.061060701158725555,-0.11896590941718647,0.0003080650970008946,0.00022732732972216538,0.02192834876656758,0.0051063614438803025,0.017138913813492116,2.2715128417469592e-10
