config,metric,mean,ci_lo,ci_hi,n
alpha=0.25,success rate,0.4665831244778613,0.44298245614035087,0.4912332915622389,1596
alpha=0.25,max range (m),4.7001224053598065,4.4634293778868335,4.937437264482184,1596
alpha=0.5,success rate,0.5350877192982456,0.5114818295739348,0.5586883876357561,1596
alpha=0.5,max range (m),4.741319135425686,4.495909249468785,4.9744858272395875,1596
no decay,success rate,0.4920634920634921,0.4676274018379281,0.5160870927318295,1596
no decay,max range (m),4.638251929240122,4.398055011026909,4.872305204180084,1596
no imitation,success rate,0.39139515455304935,0.36799812030075185,0.4147921888053467,1596
no imitation,max range (m),4.458667319335939,4.217446750682134,4.692425637526994,1596
