Speed Value,Angle,Ground Noise,Mean Speed,Success,Reward
0.1,-20.0,0.0,0.00627393442484263,False,-28.312763643751467
0.4625,-20.0,0.0,0.008037929436888554,False,-26.289049852715614
0.825,-20.0,0.0,0.0074511279913464885,False,-27.566505494978763
1.1875,-20.0,0.0,0.007955408673311515,False,-28.48631367718837
1.55,-20.0,0.0,0.008585062573102535,False,-28.392966295887774
1.9125,-20.0,0.0,0.008602156767961397,False,-27.889514480510638
2.275,-20.0,0.0,0.007115375035285429,False,-31.300031702229443
2.6375,-20.0,0.0,0.007490290097322541,False,-31.398327713698624
3.0,-20.0,0.0,0.006669011777007865,False,-32.383277900600994
0.1,-19.0,0.0,0.008489901756828792,False,-24.816191006114394
0.4625,-19.0,0.0,0.008698076472596841,False,-25.139308534451747
0.825,-19.0,0.0,0.00811955465123276,False,-27.47827686553704
1.1875,-19.0,0.0,0.00796056193221551,False,-26.45268405069325
1.55,-19.0,0.0,0.0074309353944679414,False,-26.945162218372054
1.9125,-19.0,0.0,0.008662699222477189,False,-29.10966868948084
2.275,-19.0,0.0,0.0086943102649136,False,-30.795434904523347
2.6375,-19.0,0.0,0.006442873547799344,False,-31.96397317296654
3.0,-19.0,0.0,0.008368067399548236,False,-29.880159527838412
0.1,-18.000000000000004,0.0,0.00895512820163468,False,-25.83818563508115
0.4625,-18.000000000000004,0.0,0.009917591505941584,False,-29.04850791448233
0.825,-18.000000000000004,0.0,0.008465610341348554,False,-25.162808869208693
1.1875,-18.000000000000004,0.0,0.008135539720369981,False,-24.593021462205023
1.55,-18.000000000000004,0.0,0.009241514491361591,False,-25.21067786776047
1.9125,-18.000000000000004,0.0,0.007723889760711809,False,-26.606962322423264
2.275,-18.000000000000004,0.0,0.009800823814496106,False,-28.378188819514683
2.6375,-18.000000000000004,0.0,0.008141879151259366,False,-29.16281505961452
3.0,-18.000000000000004,0.0,0.007351912419755684,False,-30.747730868703936
0.1,-16.999999999999996,0.0,0.009244751082204019,False,-22.207322472205465
0.4625,-16.999999999999996,0.0,0.010330932116075527,False,-27.332976799217754
0.825,-16.999999999999996,0.0,0.010017657486375422,False,-22.5903795325032
1.1875,-16.999999999999996,0.0,0.00905660113391532,False,-23.72868676418701
1.55,-16.999999999999996,0.0,0.010470011725940533,False,-26.81314856152681
1.9125,-16.999999999999996,0.0,0.009509425900461336,False,-26.61943226317599
2.275,-16.999999999999996,0.0,0.00951428979508646,False,-30.51892870264418
2.6375,-16.999999999999996,0.0,0.00798461418086408,False,-24.60582113223773
3.0,-16.999999999999996,0.0,0.00836367106757412,False,-28.106633710302567
0.1,-16.0,0.0,0.00933440586827893,False,-26.170930773583315
0.4625,-16.0,0.0,0.01122756046487175,False,-23.532102726319774
0.825,-16.0,0.0,0.012354549442709181,False,-21.17396236548658
1.1875,-16.0,0.0,0.008698804755820553,False,-24.753679399414246
1.55,-16.0,0.0,0.010111544725306287,False,-24.26425698834334
1.9125,-16.0,0.0,0.009977093700494353,False,-28.264034261732412
2.275,-16.0,0.0,0.009322555918805833,False,-29.995943643281116
2.6375,-16.0,0.0,0.009821228747497468,False,-30.77641147520893
3.0,-16.0,0.0,0.010907950147202567,False,-27.45707984090599
0.1,-15.0,0.0,0.24965394849713235,True,1723.9025707084545
0.4625,-15.0,0.0,0.3034714979476781,True,1671.5934713084353
0.825,-15.0,0.0,0.012068897629904023,False,-18.98678742312063
1.1875,-15.0,0.0,0.011580309837527709,False,-18.86109222238295
1.55,-15.0,0.0,0.8974558852290864,True,1569.6258035780277
1.9125,-15.0,0.0,0.012691917495578464,False,-21.9269107227323
2.275,-15.0,0.0,0.010387748443556517,False,-29.339484328219935
2.6375,-15.0,0.0,0.05252780462280593,False,-5.870516896376838
3.0,-15.0,0.0,0.028182158715140203,False,-19.362106232525633
0.1,-14.0,0.0,0.2631090508590128,True,1506.8719334896296
0.4625,-14.0,0.0,0.42117213750383264,True,1543.060496996805
0.825,-14.0,0.0,0.31658629811070466,True,1764.1724008777098
1.1875,-14.0,0.0,0.8995038986922804,True,1373.8623521541735
1.55,-14.0,0.0,0.012509233368345862,False,-26.50849584196915
1.9125,-14.0,0.0,0.8078569813320579,True,1761.1953669212114
2.275,-14.0,0.0,0.04425065535206151,False,5.95871506075461
