variant,coef_mse,time_domain_mse,fft_fidelity_h1_h3,period_mae_s,period_mape,n_period_nonpositive,best_val,best_epoch
baseline,0.8821156024932861,0.05619791895151138,1.4314675331115723,0.035229723900556564,0.08151590824127197,0,0.2908707084479155,297
phase,0.9050573706626892,0.05772555246949196,1.4701619148254395,0.03399172052741051,0.07674284279346466,0,0.15350114394117284,297
residual,0.5094470381736755,0.03156154602766037,0.7941034436225891,0.03310021758079529,0.07193974405527115,0,0.1872926480240292,3
phase_residual,0.5154544115066528,0.031971562653779984,0.8134389519691467,0.03377266228199005,0.07391764968633652,0,0.09640928622749116,3
